20201223,青浦,夏阳,近地铁 中间楼层 诚心出售 价格可以谈 满五必看好房,168万,1室1厅 | 63.92平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_c5ewENbAU_1.jpg.296x216.jpg
20201223,青浦,夏阳,满五唯一 采光好 位置佳 总价低大三房必看好房,405万,4室2厅 | 138.75平米 | 南 | 简装 | 低楼层(共18层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_od7pCWFpX_1.jpg.296x216.jpg
20201223,青浦,夏阳,毓秀   近地铁   采光好   户型正   带产权车位必看好房,348万,3室1厅 | 99.5平米 | 南 | 精装 | 低楼层(共18层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_CrhzmdvXZ_1.jpg.296x216.jpg
20201223,青浦,夏阳,精装修 拎包入住 楼层好 满五唯一必看好房,190万,2室1厅 | 52.13平米 | 南 | 精装 | 低楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ROfZVZqvu_1.jpg.296x216.jpg
20201223,青浦,夏阳,金地经典复式房，附带的面积多，采光好必看好房,305万,3室2厅 | 87.74平米 | 南 | 精装 | 高楼层(共11层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_OEO5cdGQR_1.jpg.296x216.jpg
20201223,青浦,夏阳,东边套，前排无遮挡，小三房，满五唯一。必看好房,206万,3室1厅 | 65.8平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zJBm67CzG_1.jpg.296x216.jpg
20201223,青浦,夏阳,双南户型，临河而居，2年左右精致装修，诚意出售必看好房,239.9万,2室2厅 | 80.94平米 | 南 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_j2fF8dZlb_1.jpg.296x216.jpg
20201223,青浦,夏阳,小区在售同户型少，近地铁医院商场生活便利必看好房,275万,2室2厅 | 84.41平米 | 南 北 | 简装 | 低楼层(共11层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6yG4MzgWe_1.jpg.296x216.jpg
20201223,青浦,夏阳,总价低，单价实惠，祥龙正两房，楼层好必看好房,175万,2室1厅 | 56.41平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_iH4ZlmTzO_1.jpg.296x216.jpg
20201223,青浦,夏阳,朝南边套三房带阁楼，现代装修，户型正气必看好房,240万,3室2厅 | 88.2平米 | 南 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0tdrXByCO_1.jpg.296x216.jpg
20201223,青浦,夏阳,曾经三十几w能买套房,那时装修就花费3+0w不看看必看好房,420万,3室2厅 | 137.84平米 | 南 北 | 精装 | 低楼层(共11层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_sX2XV5bPf_1.jpg.296x216.jpg
20201223,青浦,夏阳,满五唯一  采光好  大两房  户型方正必看好房,231万,2室2厅 | 85.89平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_W5QOYVaUI_1.jpg.296x216.jpg
20201223,青浦,夏阳,满五唯一  婚房装修 南北双阳台 拎包入住 采光好必看好房,285万,2室2厅 | 77.86平米 | 南 | 精装 | 高楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_LyPn5raXX_1.jpg.296x216.jpg
20201223,青浦,夏阳,宜达新居 2室2厅 南必看好房,319万,2室2厅 | 98.68平米 | 南 | 简装 | 高楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mzn6UEhXs_1.jpg.296x216.jpg
20201223,青浦,夏阳,17号青浦新城站+满5年+钥匙+户型方正+价可谈；必看好房,310万,3室2厅 | 114.25平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0N0Yy5UuY_1.jpg.296x216.jpg
20201223,青浦,夏阳,精装自住三房两卫 满五唯一 花园30平 看房联系维护人必看好房,415万,3室2厅 | 128.14平米 | 南 北 | 精装 | 低楼层(共5层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_F4rvSipVo_1.jpg.296x216.jpg
20201223,青浦,夏阳,OMG! 城东难得的全明经典三房 诚意出售看房随时约必看好房,195万,3室1厅 | 64.8平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Mb9aZvQdF_1.jpg.296x216.jpg
20201223,青浦,夏阳,华骥苑优质楼层，税费少，诚心出售，拎包入住必看好房,239万,3室2厅 | 80.95平米 | 南 | 精装 | 中楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_EUbyPphCm_1.jpg.296x216.jpg
20201223,青浦,夏阳,多年以后，总价低的一房终是再次出现了必看好房,132万,1室1厅 | 33.06平米 | 南 | 精装 | 中楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_njBrSEQqi_1.jpg.296x216.jpg
20201223,青浦,夏阳,满5唯一+自带车位+青浦新城站+十年内新买入+税费低必看好房,302万,3室2厅 | 114.25平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_ozTOo3QcY_1.jpg.296x216.jpg
20201223,青浦,夏阳,户型正气南北通带花园，佳佳毓秀，近地铁必看好房,333万,3室2厅 | 123.72平米 | 南 | 简装 | 低楼层(共12层) | 2005年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-7e2e0c2a-0ab1-4ba7-a3a1-032c44d0c191.jpg.296x216.jpg
20201223,青浦,夏阳,城东新村难得一见，珍贵72平三房出售,可拎包入住必看好房,204万,3室1厅 | 71.99平米 | 南 | 简装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_f5Xvxq1oT_1.jpg.296x216.jpg
20201223,青浦,夏阳,此房满五唯一 税费少 精装修拎包入住 双南户型 采光好必看好房,210万,3室1厅 | 82平米 | 南 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_hXVukOVUF_1.jpg.296x216.jpg
20201223,青浦,夏阳,仁恒运杰河滨花园 3室2厅 南必看好房,479万,3室2厅 | 147.7平米 | 南 | 精装 | 低楼层(共18层) | 2010年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/1678ad57-72f2-45e6-8295-80992c6b0967.png.296x216.jpg
20201223,青浦,夏阳,帕缇欧香苑，精装修中叠别墅，实际面积大，户型正气新上,780万,5室2厅 | 176.67平米 | 南 | 简装 | 中楼层(共5层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3njoTn0mK_1.jpg.296x216.jpg
20201223,青浦,夏阳,新城盛景园 3室2厅 南新上,395万,3室2厅 | 89.42平米 | 南 | 精装 | 中楼层(共11层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gKH6HlW9U_1.jpg.296x216.jpg
20201223,青浦,夏阳,经典一房， 精装修，拎包入住，业主诚心出售新上,268万,1室2厅 | 58.33平米 | 南 | 精装 | 高楼层(共8层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wi8JxkHvu_1.jpg.296x216.jpg
20201223,青浦,夏阳,城东新村 全明三房 一梯两户 业主诚意 看房方便,199万,3室1厅 | 67.37平米 | 南 北 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1aftq9iiG_1.jpg.296x216.jpg
20201223,青浦,夏阳,近地铁400米，满五唯一，诚意卖，看房方便，,312万,3室1厅 | 109.29平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_XXpgLCqZO_1.jpg.296x216.jpg
20201223,青浦,夏阳,运杰新上好房，精装修，楼层好，有车位,410万,3室2厅 | 137.14平米 | 南 | 简装 | 中楼层(共11层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_RTyiDehPB_1.jpg.296x216.jpg
20201223,青浦,夏阳,南北通近地铁毛坯房带阁楼，佳佳毓秀新上,300万,2室2厅 | 94.9平米 | 南 | 毛坯 | 高楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Nu6axUemM_1.jpg.296x216.jpg
20201223,青浦,夏阳,通透三房，满五年，品质小区，安静宜居房主自荐,265万,3室1厅 | 85.72平米 | 南 | 简装 | 低楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_LaJRbousj_1.jpg.296x216.jpg
20201223,青浦,夏阳,景观楼层 双南两房 全明户型 2梯2户 优质生活  看起来,355万,2室2厅 | 130平米 | 南 | 简装 | 高楼层(共16层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_LKexxpmzi_1.jpg.296x216.jpg
20201223,青浦,夏阳,中铁逸都 3室2厅 南,390万,3室2厅 | 104.03平米 | 南 | 精装 | 低楼层(共13层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zaRgCGZmB_1.jpg.296x216.jpg
20201223,青浦,夏阳,居高临下，总揽全局，满五唯一，中间位置，诚意出售,165万,2室1厅 | 51.59平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_VPXMorlJV_1.jpg.296x216.jpg
20201223,青浦,夏阳,顶楼复式+附带三个大露台+自住精装修拎包入住,450万,4室3厅 | 165.09平米 | 南 | 精装 | 高楼层(共4层) | 2007年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-ae6550be-cbc3-405d-a070-54cb0859660e.jpg.296x216.jpg
20201223,青浦,夏阳,中间楼层，钥匙，业主诚心，直视青浦环城水系公园房主自荐,370万,3室2厅 | 134.63平米 | 南 | 精装 | 高楼层(共11层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ExGJUIVu7_1.jpg.296x216.jpg
20201223,青浦,夏阳,有车位+电梯洋房+2014年次新小区+户型方正50wan＋装修房主自荐,535万,3室2厅 | 136.23平米 | 南 | 精装 | 中楼层(共8层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1nBuYkGZ2_1.jpg.296x216.jpg
20201223,青浦,夏阳,近地铁，临河位置好，诚意出售，看房请联系小吴房主自荐,308万,3室2厅 | 115.53平米 | 南 | 简装 | 高楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KN6ItE288_1.jpg.296x216.jpg
20201223,青浦,夏阳,此房是满五年唯一的住宅 双南的卧室格局,全明户型新上,230万,2室2厅 | 85.79平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_p1iDc3qHg_1.jpg.296x216.jpg
20201223,青浦,夏阳,华骥苑 3室1厅 南新上,235万,3室1厅 | 78.53平米 | 南 | 精装 | 高楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dtKyLzZZS_1.jpg.296x216.jpg
20201223,青浦,夏阳,一梯两户，河景房，单价低，诚心出售，有钥匙可看房房主自荐,162万,2室1厅 | 58.13平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_URG0umB7v_1.jpg.296x216.jpg
20201223,青浦,夏阳,保安新村，一梯两户，配套齐全，满五年唯一，诚意出售房主自荐,212万,2室1厅 | 75.84平米 | 南 | 简装 | 高楼层(共5层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wqyp7ZFLf_1.jpg.296x216.jpg
20201223,青浦,夏阳,离地铁口260米，出行方便，配套齐全,生活方便新上,295万,3室2厅 | 116.72平米 | 南 | 简装 | 高楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ykE8Agwgx_1.jpg.296x216.jpg
20201223,青浦,夏阳,新城盛景小户型！！毓秀佳佳！！近地铁两房！！新上,185万,2室1厅 | 63.41平米 | 西 | 简装 | 中楼层(共7层) | 2008年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-27450542-d91b-4581-bf0b-79a24ad2697b.jpg.296x216.jpg
20201223,青浦,夏阳,楼层好，视野开阔，小外滩景观房，格局好。房主自荐,438万,3室2厅 | 140.18平米 | 南 北 | 精装 | 高楼层(共12层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_CVwSzPdtg_1.jpg.296x216.jpg
20201223,青浦,夏阳,近地铁   大三房  生活便利房主自荐,263万,3室2厅 | 106.06平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_O0GboZ6fo_1.jpg.296x216.jpg
20201223,青浦,夏阳,业主诚意出售，装修超好，带阁楼，采光充足，清爽整洁,615万,5室2厅 | 127平米 | 南 | 精装 | 高楼层(共4层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ds8znNUP6_1.jpg.296x216.jpg
20201223,青浦,夏阳,近地铁    生活便利     全明有窗  诚意出售房主自荐,235万,2室1厅 | 73.89平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-cd229438-abb5-4093-a001-fa285bfe9df0.jpg.296x216.jpg
20201223,青浦,夏阳,视野开阔，景观河景房，好楼层，配套齐全房主自荐,240万,2室2厅 | 80.94平米 | 南 | 简装 | 低楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_81CFHfb4s_1.jpg.296x216.jpg
20201223,青浦,夏阳,全明户型 交通便利 生活配套齐全 楼层视野开阔无遮挡房主自荐,236万,2室2厅 | 94.16平米 | 南 | 精装 | 高楼层(共7层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_RueQ6d67Q_1.jpg.296x216.jpg
20201223,青浦,夏阳,南北通， 一楼带花园 近地铁，配套齐全，诚意出售房主自荐,283万,2室1厅 | 75.31平米 | 南 北 | 简装 | 低楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6ojrdsQZY_1.jpg.296x216.jpg
20201223,青浦,夏阳,朝南，采光充足，三房带花园，业主诚售,310万,3室2厅 | 104平米 | 南 | 简装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_NLaagA2GG_1.jpg.296x216.jpg
20201223,青浦,夏阳,三房两厅两卫，精装修拎包住，适合一家三代居住,359万,3室2厅 | 124.05平米 | 南 | 精装 | 高楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2ypv7MWD2_1.jpg.296x216.jpg
20201223,青浦,夏阳,近地铁 交通便利 大面积 带阁楼！！ 采光好房主自荐,420万,4室2厅 | 160.27平米 | 南 北 | 精装 | 高楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KXzFhF6gK_1.jpg.296x216.jpg
20201223,青浦,夏阳,城东新村三区景观房 单价低 位置好 业主诚意出售,235万,2室2厅 | 89.94平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MDNJasMyx_1.jpg.296x216.jpg
20201223,青浦,夏阳,阳光房已做好,复式格局，四室朝南户型方正，三个露台房主自荐,550万,4室2厅 | 183.97平米 | 南 | 简装 | 高楼层(共5层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_LbqLyYM2s_1.jpg.296x216.jpg
20201223,青浦,夏阳,品质小区汇金地铁站900米，税费少，花园看房联系小李,345万,3室2厅 | 97平米 | 南 | 精装 | 低楼层(共5层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_nZUu1rmlu_1.jpg.296x216.jpg
20201223,青浦,夏阳,低楼层大三房，业主诚意出售，配套齐全房主自荐,295万,3室2厅 | 109.9平米 | 南 | 其他 | 低楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zeUIdiEwO_1.jpg.296x216.jpg
20201223,青浦,夏阳,飞机户型，南北透，一首动迁，税费少，领包入住,375万,3室1厅 | 130.7平米 | 南 | 简装 | 低楼层(共11层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bo5D40OuS_1.jpg.296x216.jpg
20201223,青浦,夏阳,满五唯一 南北通 精装修 毓秀佳佳 中山医院 品质小区,494.5万,3室1厅 | 152.12平米 | 南 | 精装 | 高楼层(共5层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cqtjlKKuh_1.jpg.296x216.jpg
20201223,青浦,夏阳,两房朝南，湖景房，采光视野好，简装，看房方便。,325万,2室1厅 | 98.97平米 | 南 | 精装 | 低楼层(共17层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_R7IGf2iHA_1.jpg.296x216.jpg
20201223,青浦,夏阳,江湖百晓生：非顶楼舒服的居住体验，是家的感觉没错了,187万,3室1厅 | 65.97平米 | 南 | 精装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cCPzz5FQ1_1.jpg.296x216.jpg
20201223,青浦,夏阳,观景房 南北通风 满五唯一 采光无遮挡 诚意出售,155万,2室1厅 | 51.17平米 | 南 | 简装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3A49R8vAp_1.jpg.296x216.jpg
