20201223,松江,九亭,经典三房 中间楼层 精装修拎包入住 高性价.比必看好房,368万,3室2厅 | 88.57平米 | 南 | 精装 | 14层 | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_crWbBDiKj_1.jpg.296x216.jpg
20201223,松江,九亭,一楼带30平花园 可烧烤 养花 种菜 养宠物 全明户型必看好房,360万,2室2厅 | 77.33平米 | 南 | 精装 | 低楼层(共5层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Gu9FOHxls_1.jpg.296x216.jpg
20201223,松江,九亭,看房随时 诚意出售 满五年省税 小区靠中位置 景观楼层必看好房,799万,3室2厅 | 138.08平米 | 南 | 精装 | 中楼层(共16层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6nJk2T1J1_1.jpg.296x216.jpg
20201223,松江,九亭,满五唯一+中间位置+楼层好+采光好楼间距大+业主诚意！必看好房,470万,3室2厅 | 114.56平米 | 南 | 简装 | 中楼层(共14层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6n6K6TdW6_1.jpg.296x216.jpg
20201223,松江,九亭,奥园二期楼中楼大复式，满五唯一，精装，拎包自主必看好房,550万,3室3厅 | 142.49平米 | 南 | 精装 | 低楼层(共16层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0yltM2yf0_1.jpg.296x216.jpg
20201223,松江,九亭,新上房源，业主置换诚意出售，位置好，采光好必看好房,355万,2室2厅 | 86.99平米 | 南 | 简装 | 低楼层(共16层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dYfT8gutd_1.jpg.296x216.jpg
20201223,松江,九亭,全南经典户型，买进价高税费少，九号线品质住宅。必看好房,375万,2室2厅 | 89.46平米 | 南 | 毛坯 | 低楼层(共17层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2DmBWSmru_1.jpg.296x216.jpg
20201223,松江,九亭,店长推荐综合之选,满五唯一，景观出色，居住惬意必看好房,288万,1室2厅 | 71.78平米 | 南 | 精装 | 14层 | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/136332c5-43fe-49b8-b9ea-f13c1388d6fb_1000.jpg.296x216.jpg
20201223,松江,九亭,空中别墅+精装修+顶楼复式 带100平米大花园 +采光充足必看好房,898万,4室3厅 | 210.58平米 | 南 | 精装 | 高楼层(共12层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_I2fT1yFKg_1.jpg.296x216.jpg
20201223,松江,九亭,中层一房+业主诚意出售+交通方便+配套齐全产权清晰必看好房,325万,1室2厅 | 59.96平米 | 南 北 | 精装 | 低楼层(共16层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6in5iEfOB_1.jpg.296x216.jpg
20201223,松江,九亭,小区好位置，中间楼层，户型方正，采光好南北通风必看好房,488万,3室2厅 | 108.69平米 | 南 北 | 精装 | 中楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PvDwYe1lB_1.jpg.296x216.jpg
20201223,松江,九亭,随时可看 南北通透中楼层 景观位置 视野采光好必看好房,368万,2室2厅 | 89.12平米 | 南 北 | 简装 | 低楼层(共13层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_070Z6ratN_1.jpg.296x216.jpg
20201223,松江,九亭,3期东边套有钥匙，飞机户型，得房率高, 精装拎包入住必看好房,352万,2室2厅 | 88.74平米 | 南 | 精装 | 5层 | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_lsUwRshas_1.jpg.296x216.jpg
20201223,松江,九亭,顶楼带阁楼户型 三房两卫 景观房 视野开阔 采光充足必看好房,455万,3室2厅 | 98.67平米 | 南 北 | 精装 | 高楼层(共14层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BmeOg965w_1.jpg.296x216.jpg
20201223,松江,九亭,南北通，带地暖，近地铁，出行方便，有钥匙，随时可看必看好房,610万,3室2厅 | 119.32平米 | 南 北 | 精装 | 低楼层(共17层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZGs2LlYpj_1.jpg.296x216.jpg
20201223,松江,九亭,南北直通，双阳台，采光充足，户型方正必看好房,355万,2室2厅 | 86.99平米 | 南 | 精装 | 低楼层(共16层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GK1F2adfq_1.jpg.296x216.jpg
20201223,松江,九亭,有钥匙！有钥匙！中间楼层+2房朝南+房东诚意出售！！必看好房,316万,2室2厅 | 81.25平米 | 南 | 精装 | 中楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_NjVEfi9Dw_1.jpg.296x216.jpg
20201223,松江,九亭,近地铁，楼层好，南北通，满五年必看好房,470万,3室2厅 | 110.44平米 | 南 | 精装 | 高楼层(共12层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_THe11346K_1.jpg.296x216.jpg
20201223,松江,九亭,业主诚意出售+近地铁+采光好+楼层好+总价低必看好房,291万,2室2厅 | 70.92平米 | 南 北 | 精装 | 中楼层(共13层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_RGcuK9AsF_1.jpg.296x216.jpg
20201223,松江,九亭,朗庭上郡苑(公寓) 3室2厅 南 北必看好房,360万,3室2厅 | 89.01平米 | 南 北 | 精装 | 高楼层(共11层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0ha6SglOH_1.jpg.296x216.jpg
20201223,松江,九亭,此房满2年唯一，南北向，视野宽阔，采光充足必看好房,189万,1室1厅 | 41.41平米 | 南 | 精装 | 中楼层(共13层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_u6h1eqLks_1.jpg.296x216.jpg
