20201223,松江,泗泾,近九号线佘山站+泗泾站+高楼层大边套+满五唯一无个税必看好房,240万,2室1厅 | 77.51平米 | 南 | 毛坯 | 中楼层(共14层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_LnuVAKe0O_1.jpg.296x216.jpg
20201223,松江,泗泾,新上大一房，好位置，楼层，阳台可做榻榻米，业主诚售必看好房,185万,1室1厅 | 60.25平米 | 南 | 毛坯 | 中楼层(共14层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JQ2XfNsx6_1.jpg.296x216.jpg
20201223,松江,泗泾,房东只委托链家!邻地铁，南北通临河采光佳，随时看房必看好房,315万,3室2厅 | 92.5平米 | 南 | 毛坯 | 低楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Acpt0idGN_1.jpg.296x216.jpg
20201223,松江,泗泾,祥和公寓大三房，南北双阳台，精装满五唯一，诚意出售必看好房,455万,3室2厅 | 141平米 | 南 | 精装 | 中楼层(共5层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_IMGqxG6uZ_1.jpg.296x216.jpg
20201223,松江,泗泾,同润精装修，保养好，满五唯一，高楼层G2户型，视野好必看好房,318万,3室2厅 | 89.12平米 | 南 | 精装 | 高楼层(共18层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_b9l0VxGLZ_1.jpg.296x216.jpg
20201223,松江,泗泾,一手动迁，满五唯一，边套两房业主诚心出售！必看好房,213万,2室1厅 | 69.16平米 | 南 | 毛坯 | 中楼层(共14层) | 2011年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-07a2ae0b-efc5-4a8c-8bbe-c4c0934f466c.jpg.296x216.jpg
20201223,松江,泗泾,带产权车位，全明户型，飞机户型必看好房,545万,3室2厅 | 107.53平米 | 南 | 精装 | 中楼层(共18层) | 2016年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_odW6AUFku_1.jpg.296x216.jpg
20201223,松江,泗泾,通透，业主自住装修，9号线地铁，绿化高必看好房,248万,2室1厅 | 66.31平米 | 南 北 | 精装 | 中楼层(共11层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_OFSr9PZXA_1.jpg.296x216.jpg
20201223,松江,泗泾,地铁9号线佘山站 南北通全明2房 位置佳 楼层好必看好房,368万,2室2厅 | 91.36平米 | 南 | 简装 | 低楼层(共19层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GK7USYTfg_1.jpg.296x216.jpg
20201223,松江,泗泾,带电梯的花园别墅，花园30平，硬装230多万必看好房,1180万,5室4厅 | 166.7平米 | 南 北 | 精装 | 低楼层(共3层) | 2017年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_H7WI8NEq5_1.jpg.296x216.jpg
20201223,松江,泗泾,精装带阁楼，买一层附半层，看房方便，满五唯一必看好房,270万,2室2厅 | 76.89平米 | 南 | 精装 | 高楼层(共6层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xbvSHmPws_1.jpg.296x216.jpg
20201223,松江,泗泾,南北通两房，户型好，品质小区近地铁必看好房,472万,2室2厅 | 98.77平米 | 南 | 精装 | 低楼层(共25层) | 2016年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_kwwG4oFsY_1.jpg.296x216.jpg
20201223,松江,泗泾,新凯一期 2室1厅 南 北必看好房,285万,2室1厅 | 78.43平米 | 南 北 | 精装 | 中楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Isfq4cKpB_1.jpg.296x216.jpg
20201223,松江,泗泾,全体注意：好房全款173万，低于市场价5万，机不可失！必看好房,173.6万,2室1厅 | 66.4平米 | 南 | 毛坯 | 低楼层(共18层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_CfYIwMnlP_1.jpg.296x216.jpg
20201223,松江,泗泾,新凯四期方正大两室，通风采光好，业主诚意出售！必看好房,210万,2室1厅 | 75.69平米 | 南 | 毛坯 | 低楼层(共11层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4QDn6rxAy_1.jpg.296x216.jpg
20201223,松江,泗泾,佘山脚下 高层河景房 +精装修+视野开阔必看好房,251万,2室1厅 | 64.1平米 | 南 | 精装 | 高楼层(共14层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_eQyj956YQ_1.jpg.296x216.jpg
20201223,松江,泗泾,金港电梯房 满五唯一 户型方正 位置佳必看好房,350万,2室2厅 | 97.44平米 | 南 | 精装 | 中楼层(共14层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Wm2u7jX2d_1.jpg.296x216.jpg
20201223,松江,泗泾,南北通，满2年，精装修，自住保养好必看好房,370万,2室2厅 | 77.24平米 | 南 | 精装 | 中楼层(共11层) | 2016年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_nXA5Ya1ap_1.jpg.296x216.jpg
20201223,松江,泗泾,品质小区 店长推荐 交通便利 居住舒适必看好房,189.5万,2室1厅 | 66.96平米 | 南 | 毛坯 | 低楼层(共18层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1eilBllje_1.jpg.296x216.jpg
20201223,松江,泗泾,一手动迁税费少，临河景观房，采光好必看好房,234万,2室1厅 | 73.46平米 | 南 | 简装 | 中楼层(共18层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_l61IXDGh5_1.jpg.296x216.jpg
20201223,松江,泗泾,房东诚心出售，置换房子无抵押无户口必看好房,285万,3室2厅 | 93.89平米 | 南 | 毛坯 | 中楼层(共18层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YNpl7KW3b_1.jpg.296x216.jpg
20201223,松江,泗泾,一手动迁，位置安静，出行方便，毛坯好改装必看好房,268万,2室2厅 | 81.57平米 | 南 | 毛坯 | 低楼层(共11层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_oPw9TMQiY_1.jpg.296x216.jpg
20201223,松江,泗泾,新凯城尚樱苑 楼层好 南北通 一手动迁 税费少必看好房,225万,2室1厅 | 73.46平米 | 南 | 简装 | 中楼层(共18层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vKbpDcAt6_1.jpg.296x216.jpg
20201223,松江,泗泾,一手动迁税费少，价格优惠！方正户型！业主诚售！必看好房,195万,2室1厅 | 70.74平米 | 南 | 简装 | 低楼层(共16层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bPAuFqKMp_1.jpg.296x216.jpg
20201223,松江,泗泾,两房朝南户型  装修省事随时入住 税费少必看好房,230万,2室1厅 | 70.99平米 | 南 | 精装 | 低楼层(共13层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zqjIG5kx0_1.jpg.296x216.jpg
20201223,松江,泗泾,看房方便、经济适用、远离轻轨、业主置换诚意卖房必看好房,169万,1室1厅 | 53.7平米 | 南 | 毛坯 | 低楼层(共18层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_u3xYlUM3S_1.jpg.296x216.jpg
20201223,松江,泗泾,店长推荐，品质小区，高楼层，全明户型，位置佳必看好房,465万,3室2厅 | 112.27平米 | 南 | 精装 | 高楼层(共17层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4pyQAyirv_1.jpg.296x216.jpg
20201223,松江,泗泾,精装修边套、无个税、业主置换诚心出售、看房方便必看好房,245万,2室1厅 | 72.63平米 | 南 北 | 精装 | 低楼层(共15层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_nIRIDQ01z_1.jpg.296x216.jpg
20201223,松江,泗泾,同润精装G2户型，诚意出售，看房方便，可做普通住宅！必看好房,313万,3室2厅 | 89.29平米 | 南 | 精装 | 低楼层(共18层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_sIHLKlYQK_1.jpg.296x216.jpg
20201223,松江,泗泾,金地大三房，南北通户型，满两年，精装到价签字必看好房,475万,3室2厅 | 111.02平米 | 南 | 精装 | 高楼层(共17层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_hMTrRZPUB_1.jpg.296x216.jpg
20201223,松江,泗泾,经典三房户型，自住装修，看房随时，视野开阔必看好房,389万,3室2厅 | 95.9平米 | 南 | 精装 | 低楼层(共18层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_u3NG37Qa2_1.jpg.296x216.jpg
20201223,松江,泗泾,地褐石苑 2+1 户型，总价低 业主诚意出售必看好房,390万,3室2厅 | 84.07平米 | 南 | 精装 | 低楼层(共11层) | 2016年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_VL12BVzkG_1.jpg.296x216.jpg
20201223,松江,泗泾,金地自在城二期 对口上师大看房方便 精装修 3房高楼层必看好房,389万,3室2厅 | 94.58平米 | 南 | 精装 | 高楼层(共16层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1jf35a7P5_1.jpg.296x216.jpg
20201223,松江,泗泾,金地褐石苑 精装修 2+1户型带车位满二年 诚意卖必看好房,420万,3室2厅 | 85.92平米 | 南 北 | 精装 | 高楼层(共11层) | 2016年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_AuuvsweVb_1.jpg.296x216.jpg
20201223,松江,泗泾,楼层好+配套设施齐全+独立入户门必看好房,240万,2室1厅 | 76.38平米 | 南 | 精装 | 低楼层(共11层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_66QbUPjub_1.jpg.296x216.jpg
20201223,松江,泗泾,装修好+即将满五唯一+南北双大阳台+商品房+地铁近必看好房,325万,2室2厅 | 91.09平米 | 南 | 精装 | 低楼层(共5层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_p0uiCYGTq_1.jpg.296x216.jpg
