20201223,松江,松江老城,万科新上小三房，好位置，中高楼层，诚心出售，随时看必看好房,350万,3室2厅 | 89.23平米 | 南 | 精装 | 中楼层(共11层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_eyucOGJfk_1.jpg.296x216.jpg
20201223,松江,松江老城,此房满五唯一，精装实木家具，带车位，南北户型好必看好房,470万,3室2厅 | 115.08平米 | 南 | 精装 | 中楼层(共11层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_FT0sZviNh_1.jpg.296x216.jpg
20201223,松江,松江老城,精装修拎包入住+满五唯一税费少+有钥匙随时看房必看好房,290万,2室1厅 | 75.72平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_1RXbW3wKH_1.jpg.296x216.jpg
20201223,松江,松江老城,满五唯一飞机大三房 花园洋房带电梯 钥匙看房必看好房,435万,4室1厅 | 126.61平米 | 南 | 精装 | 中楼层(共8层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6uzQoTheC_1.jpg.296x216.jpg
20201223,松江,松江老城,中间楼层 精装一房保养好拎包可住 看房随时必看好房,218万,2室1厅 | 63.39平米 | 南 | 精装 | 中楼层(共13层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_sdBKJUqFP_1.jpg.296x216.jpg
20201223,松江,松江老城,荣乐小区 中间楼层南北通一房 近九号线 限时抢购必看好房,146万,1室1厅 | 38.95平米 | 南 | 简装 | 中楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ttStar0cs_1.jpg.296x216.jpg
20201223,松江,松江老城,民乐正三房，带三个阳台，南北直通三房，飞机户型必看好房,360万,4室2厅 | 119.66平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_QQKWKU6xp_1.jpg.296x216.jpg
20201223,松江,松江老城,户型方正小三 /房，满五年唯一，中间位置必看好房,222万,3室1厅 | 65.32平米 | 南 | 简装 | 中楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_k49XkTq1W_1.jpg.296x216.jpg
20201223,松江,松江老城,精装一室户 70年产权民用水电 房主诚售必看好房,107万,1室1厅 | 47.5平米 | 北 | 精装 | 18层 | 2005年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_YG97Wxgvy_1.jpg.296x216.jpg
20201223,松江,松江老城,小区中间位置，好楼层，装修好，2016年新小区，环境好必看好房,428万,3室1厅 | 117.1平米 | 南 | 毛坯 | 13层 | 2016年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_f5du9Jhdi_1.jpg.296x216.jpg
