20201223,松江,新桥,此房满五年唯一、南北通格局、楼层好、视野开阔必看好房,185万,1室1厅 | 63.44平米 | 南 | 精装 | 高楼层(共17层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6QwXyzArX_1.jpg.296x216.jpg
20201223,松江,新桥,七十年产权住宅、满足家庭居住、诚意出售必看好房,183万,2室1厅 | 63.68平米 | 南 | 精装 | 中楼层(共17层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mxrcSYjsZ_1.jpg.296x216.jpg
20201223,松江,新桥,满五唯一，精装修，业主诚意出售必看好房,205万,2室1厅 | 80.93平米 | 南 | 精装 | 低楼层(共18层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Ua2hTA5ra_1.jpg.296x216.jpg
20201223,松江,新桥,丨沿河高层丨景观房丨户型好丨可按喜欢装修丨必看好房,263万,2室1厅 | 85.08平米 | 南 | 毛坯 | 高楼层(共18层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Rch9YRXKU_1.jpg.296x216.jpg
20201223,松江,新桥,满五唯一，居家装修，小3房，诚意出售，看房方便。必看好房,182万,3室1厅 | 62.31平米 | 南 北 | 精装 | 低楼层(共14层) | 2011年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_mvBSdNK8K_1.jpg.296x216.jpg
20201223,松江,新桥,七十年产权住宅、业主诚心出售、看房方便必看好房,180万,2室1厅 | 63.68平米 | 南 | 精装 | 高楼层(共17层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ebzOwrtka_1.jpg.296x216.jpg
20201223,松江,新桥,期待已久的南北通户型，南临河，采光视野好必看好房,208万,2室1厅 | 72.13平米 | 南 | 简装 | 高楼层(共18层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_F5YJsDqmD_1.jpg.296x216.jpg
20201223,松江,新桥,中间楼层  装修清爽 可直接拎包入住必看好房,223万,2室1厅 | 78.33平米 | 南 | 精装 | 高楼层(共14层) | 2011年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_HjuFJbJ8l_1.jpg.296x216.jpg
20201223,松江,新桥,上叠加别墅带阁楼 得房率高 可使用面积大必看好房,338万,3室2厅 | 112.41平米 | 南 | 精装 | 低楼层(共2层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1EzSt2iux_1.jpg.296x216.jpg
20201223,松江,新桥,华泽新苑 1室1厅 南必看好房,165万,1室1厅 | 49.65平米 | 南 | 精装 | 中楼层(共18层) | 2007年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/30ccdc5a-1d77-490c-82c6-326a6461a011.png.296x216.jpg
20201223,松江,新桥,南 北通的精装修的两房，采光通风好新上,225万,2室2厅 | 77.63平米 | 南 | 精装 | 中楼层(共18层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_LT1fkfH7A_1.jpg.296x216.jpg
20201223,松江,新桥,房子总价低 只有契税 中间楼层的电梯房,295万,3室2厅 | 121.91平米 | 南 | 毛坯 | 低楼层(共9层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wwZHkuPp2_1.jpg.296x216.jpg
20201223,松江,新桥,房子总价低 只有契税 中间楼层的电梯房,293万,3室2厅 | 122.05平米 | 南 | 毛坯 | 中楼层(共9层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_k8SAaqiNU_1.jpg.296x216.jpg
20201223,松江,新桥,得房率高 只有契税 总价低 采光好的电梯房,295万,3室2厅 | 122.05平米 | 南 | 毛坯 | 低楼层(共9层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KNsARbjnZ_1.jpg.296x216.jpg
20201223,松江,新桥,此房满五年唯一、南北通格局、楼层好、看房随时,185万,2室1厅 | 63.48平米 | 南 | 精装 | 低楼层(共17层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_IV0rtep4W_1.jpg.296x216.jpg
20201223,松江,新桥,新桥镇刚需小两房，拎包入住，诚意出售，看房方便房主自荐,148万,2室1厅 | 44.72平米 | 南 | 精装 | 低楼层(共14层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8E5XoGU4W_1.jpg.296x216.jpg
20201223,松江,新桥,温馨小两居，全明户型，装修保养好，带地下车位房主自荐,188万,2室1厅 | 61.52平米 | 南 北 | 精装 | 高楼层(共17层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_a7NPx8fVs_1.jpg.296x216.jpg
20201223,松江,新桥,房子满五年唯一，下叠加带花园，房子精装修保养好。房主自荐,285万,2室2厅 | 91.47平米 | 南 | 精装 | 低楼层(共2层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_LpaBeUXLS_1.jpg.296x216.jpg
20201223,松江,新桥,毛坯房，面积大总价低，交通便利，配套成熟房主自荐,197万,2室1厅 | 78.28平米 | 南 | 精装 | 中楼层(共18层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HG8YwTIYq_1.jpg.296x216.jpg
20201223,松江,新桥,精装两房，总价低，采光好，生活便利，配套成熟房主自荐,218万,2室1厅 | 77.11平米 | 南 | 精装 | 中楼层(共18层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_yd2XVyPp9_1.jpg.296x216.jpg
20201223,松江,新桥,70年产权住宅 改好小两房 可直接拎包入住,155万,2室1厅 | 44平米 | 南 | 精装 | 中楼层(共14层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_UmhByVIhg_1.jpg.296x216.jpg
20201223,松江,新桥,晨星小区 3室2厅 南新上,195万,3室2厅 | 109.95平米 | 南 | 精装 | 高楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zQLbkFbjp_1.jpg.296x216.jpg
20201223,松江,新桥,拎包入住、电梯房中间楼层、配套成熟、生活出行便利房主自荐,229万,2室1厅 | 77.11平米 | 南 | 精装 | 中楼层(共18层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4tb0jj4kY_1.jpg.296x216.jpg
20201223,松江,新桥,入则安宁 出则繁华 全明户型  楼层好 精装修,172万,1室1厅 | 64.46平米 | 南 | 精装 | 中楼层(共18层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_F1jfcx5di_1.jpg.296x216.jpg
20201223,松江,新桥,看房方便，全明户型，采光好，楼层好，业主诚意出售。房主自荐,315万,3室2厅 | 129.08平米 | 南 | 精装 | 高楼层(共18层) | 2009年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-e8f5ad78-3505-43f0-b162-fa6adc1c864d.jpg.296x216.jpg
20201223,松江,新桥,万宇阳光苑 精装修 前后无遮挡 边套采光好 中间位置,238万,3室2厅 | 86.79平米 | 南 | 精装 | 低楼层(共17层) | 2009年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_M8MAWutEv_1.jpg.296x216.jpg
20201223,松江,新桥,满五唯一税费少，房子精装修保养新，业主诚意出售房主自荐,265万,3室1厅 | 88.36平米 | 南 | 简装 | 高楼层(共18层) | 2009年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_CM7YwegQa_1.jpg.296x216.jpg
20201223,松江,新桥,精装小两房，诚意出售，随时看房房主自荐,147万,2室1厅 | 54.51平米 | 南 | 精装 | 低楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4QiqbV63i_1.jpg.296x216.jpg
20201223,松江,新桥,电梯房采光好、南北通户型方正、交通便利配套成熟房主自荐,288万,3室1厅 | 90.07平米 | 南 | 精装 | 中楼层(共14层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_foL4GS1ad_1.jpg.296x216.jpg
20201223,松江,新桥,小区中间位置 带飘窗 户型方正 近22号地铁线,295万,3室1厅 | 91平米 | 南 北 | 精装 | 低楼层(共14层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_yjtQ5v0q5_1.jpg.296x216.jpg
20201223,松江,新桥,中间楼层，位置安静，满五唯一，看房提前预约,210万,3室1厅 | 109.95平米 | 南 | 精装 | 中楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_t9iJx0kOG_1.jpg.296x216.jpg
20201223,松江,新桥,满五唯一税费少 沿河景观房大两房  南北户型 厨房大,245万,2室2厅 | 85.48平米 | 南 | 精装 | 低楼层(共18层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_kuvyrrIED_1.jpg.296x216.jpg
20201223,松江,新桥,长泰西郊 5室2厅 南 北,1600万,5室2厅 | 474.93平米 | 南 北 | 毛坯 | 2层 | 2011年建 | 板楼 | 独栋别墅,http://image1.ljcdn.com/110000-inspection/pc1_ldObAXR5s_1.jpg.296x216.jpg
20201223,松江,新桥,精装修带地暖两房，中间楼层，满五唯一，业主诚意卖。房主自荐,230万,2室1厅 | 77.39平米 | 南 | 精装 | 高楼层(共14层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cuN7Y5OSL_1.jpg.296x216.jpg
20201223,松江,新桥,晨星小区 3室2厅 南新上,205万,3室2厅 | 110.22平米 | 南 | 其他 | 中楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_B6Nbozdzb_1.jpg.296x216.jpg
20201223,松江,新桥,满五唯一，中高楼层，精装一房，诚意出售，看房方便！新上,147万,2室1厅 | 43.56平米 | 南 | 精装 | 中楼层(共14层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bDv9vJaBo_1.jpg.296x216.jpg
20201223,松江,新桥,南北通户型的一房，精装自住，诚意出售，看房方便,132万,1室1厅 | 52.95平米 | 南 | 简装 | 低楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tLmz9AIPV_1.jpg.296x216.jpg
20201223,松江,新桥,婚房装修，满五唯一，采光好，中间位置房主自荐,218万,3室2厅 | 109.95平米 | 南 | 精装 | 高楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZuzRBsT2c_1.jpg.296x216.jpg
20201223,松江,新桥,新桥首府 2室1厅 南,285万,2室1厅 | 103.15平米 | 南 | 精装 | 低楼层(共16层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bAt8Y4TfA_1.jpg.296x216.jpg
20201223,松江,新桥,保养好可拎包入住 采光充足  配套齐全房主自荐,260万,2室2厅 | 86.01平米 | 南 | 精装 | 高楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_NXKWCbmgN_1.jpg.296x216.jpg
20201223,松江,新桥,此房满五年唯一、双南采光好、视野开阔、交通方便房主自荐,265万,2室1厅 | 83.29平米 | 南 北 | 精装 | 高楼层(共18层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_yat3lgzOl_1.jpg.296x216.jpg
