20201223,徐汇,漕河泾,西位大三房，双轨交通，格局宽敞明亮，价格实惠必看好房,1210万,3室2厅 | 142.21平米 | 南 | 简装 | 低楼层(共17层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/7c7e018f-77e5-46aa-81a6-655003a1ebba_1000.jpg.296x216.jpg
20201223,徐汇,漕河泾,徐汇产权，漕河泾地铁口300米，08年房龄，全南户型！必看好房,725万,2室2厅 | 88.81平米 | 南 | 简装 | 高楼层(共16层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0ml3Ok1KW_1.jpg.296x216.jpg
20201223,徐汇,漕河泾,漕河泾地铁口 板式格局 南北通 全明设计必看好房,550万,2室2厅 | 82.79平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Fc1li1Lcy_1.jpg.296x216.jpg
20201223,徐汇,漕河泾,满五唯一，税费少年，楼层好，采光充足。视野宽阔必看好房,530万,2室1厅 | 72.14平米 | 南 | 简装 | 中楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/00256ace-8cad-4961-8445-64b11e6bca92.jpg.296x216.jpg
20201223,徐汇,漕河泾,2015年次新房，12号地铁，高区采光好，停车位充足必看好房,518万,1室1厅 | 58.5平米 | 南 | 简装 | 中楼层(共34层) | 2015年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/6028bea5-f0cf-48ce-bb42-ae0cbed8add7.png.296x216.jpg
20201223,徐汇,漕河泾,1梯2户，精装修，采光充足、户型方正房主自荐,750万,2室2厅 | 84.48平米 | 南 | 精装 | 高楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5GaOXVQdw_1.jpg.296x216.jpg
20201223,徐汇,漕河泾,2014年商品房 婚房装修 近地铁 生活配套成熟 诚心卖房,888万,2室2厅 | 87.4平米 | 南 | 精装 | 中楼层(共24层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_l0zABdvmU.jpg.296x216.jpg
20201223,徐汇,漕河泾,一梯两户，双南双天井，满五唯一，诚意出售房主自荐,638万,2室1厅 | 85.49平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9P8rBBwg4_1.jpg.296x216.jpg
20201223,徐汇,漕河泾,六楼带阁楼，全明户型 业主诚意出售，方便看房,470万,1室1厅 | 52.64平米 | 南 | 简装 | 高楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9o70vncq0_1.jpg.296x216.jpg
20201223,徐汇,漕河泾,徐汇区，简约两居室，近地铁，满五唯一税费少房主自荐,375万,2室1厅 | 62.65平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_55UZBcmBf_1.jpg.296x216.jpg
20201223,徐汇,漕河泾,华悦家园高区三房，动迁房不唯一，近地铁12号线虹漕路房主自荐,945万,3室2厅 | 120.88平米 | 南 北 | 简装 | 高楼层(共34层) | 2015年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-4fc2041c-a528-4297-a04b-b9a1a40dd791.jpg.296x216.jpg
20201223,徐汇,漕河泾,2014年商品房  婚房装修 近地铁 生活配套成熟 有钥匙房主自荐,938万,2室2厅 | 87.19平米 | 南 | 精装 | 高楼层(共24层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7yFDtOR1r_1.jpg.296x216.jpg
20201223,徐汇,漕河泾,04年房龄，顶楼复式，西位精装大三房，价格可谈。,880万,3室2厅 | 116.47平米 | 南 | 精装 | 高楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_edUSbEJST_1.jpg.296x216.jpg
20201223,徐汇,漕河泾,高区景观，南北两房，近地铁，徐汇产权，08年小区房主自荐,858万,2室2厅 | 91.67平米 | 南 | 精装 | 高楼层(共18层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BoCwJ2YbQ_1.jpg.296x216.jpg
20201223,徐汇,漕河泾,漕河泾徐汇产权 精装修一房 交通便利房主自荐,243万,1室1厅 | 40.66平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_OU0ICYLtr_1.jpg.296x216.jpg
20201223,徐汇,漕河泾,顶楼复式 婚房装修，1梯2户，全明户型,470万,1室1厅 | 50.98平米 | 南 | 简装 | 高楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_CDNSLBlsb_1.jpg.296x216.jpg
20201223,徐汇,漕河泾,徐汇区，精装两居室，近地铁，买入价格高税费少,558万,2室2厅 | 90.67平米 | 南 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0H7GPowjD_1.jpg.296x216.jpg
20201223,徐汇,漕河泾,徐汇产权，电梯一房，近漕河泾站，中间层，户型正气房主自荐,480万,1室1厅 | 55.55平米 | 南 | 精装 | 高楼层(共17层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9Xuh16eO1_1.jpg.296x216.jpg
20201223,徐汇,漕河泾,【08小区】【地铁口】【南北通】【带产权车位】,800万,3室1厅 | 109.75平米 | 南 | 毛坯 | 低楼层(共16层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_R4bMQn3Pq_1.jpg.296x216.jpg
20201223,徐汇,漕河泾,欣嘉苑 2室1厅 南新上,750万,2室1厅 | 84.94平米 | 南 | 简装 | 中楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/357a04d5-0b4b-4d06-98c6-fbccce1f28a1.png.296x216.jpg
20201223,徐汇,漕河泾,徐汇产权精致装修，近9号线，户型正，装修保养得不错房主自荐,1526万,6室4厅 | 218.22平米 | 南 | 精装 | 低楼层(共18层) | 2008年建 | 板楼,http://image1.ljcdn.com/shfdfs-image/20160410/30f82c7f-09d6-4df4-b297-3ab8c7a93b95.jpg.296x216.jpg
20201223,徐汇,漕河泾,中环边 9号线地铁口 带地下室三房诚售 徐汇产权房主自荐,860万,3室2厅 | 154平米 | 南 | 简装 | 低楼层(共16层) | 2008年建 | 板楼,
20201223,徐汇,漕河泾,徐汇产权 地楼复式，楼上三房，楼下三房 使用面积大,1250万,6室3厅 | 212平米 | 南 | 精装 | 低楼层(共17层) | 2008年建 | 板楼,http://image1.ljcdn.com/shfdfs-image/20170515/ae902e9a-a44b-48b9-b36b-166c9bfd79a8.jpg.296x216.jpg
20201223,徐汇,漕河泾,花园位置 敞亮一楼  南北通透户型 12号线旁,658万,2室2厅 | 88.25平米 | 南 北 | 简装 | 低楼层(共30层) | 2014年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/prod-f465cb6a-abb5-43b7-889c-acca17cef037.png.296x216.jpg
