20201223,徐汇,衡山路,近上海音乐学院+售后公房唯一+电梯房必看好房,570万,1室1厅 | 48.71平米 | 南 | 简装 | 高楼层(共11层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/16ea16e8-0b07-4676-9c71-b8b99cb512f6_1000.jpg.296x216.jpg
20201223,徐汇,衡山路,百年兴国路，全明户型小两房，税费低，诚意出售必看好房,520万,2室1厅 | 46.97平米 | 南 北 | 精装 | 高楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/67eec65c-d56f-418e-84bb-078a41454a62_1000.jpg.296x216.jpg
20201223,徐汇,衡山路,售后公房+满五唯一+双南全明+视野采光好+现已空关必看好房,580万,2室0厅 | 48.22平米 | 南 | 精装 | 高楼层(共5层) | 1980年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_XU8FbFd33_1.jpg.296x216.jpg
20201223,徐汇,衡山路,乌鲁木齐中路电梯房+采光不挡+洋房视野+总价低必看好房,470万,1室1厅 | 48.25平米 | 南 | 精装 | 低楼层(共28层) | 1991年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/prod-5a376f18-17bd-47bf-a6bc-4d4841964ef5.jpg.296x216.jpg
20201223,徐汇,衡山路,高安路近建国西路+精装修+小巧一室户必看好房,460万,1室1厅 | 26.34平米 | 西北 | 简装 | 中楼层(共6层) | 1980年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_inRHtGbVT_1.jpg.296x216.jpg
20201223,徐汇,衡山路,《税费各付，优秀历史建筑》湖南路近淮海中路，实图,1300万,2室1厅 | 135.16平米 | 南 | 精装 | 低楼层(共3层) | 1998年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-8ca3a9d7-aa4c-4f16-a0fe-96e53e1ca9b3.jpg.296x216.jpg
20201223,徐汇,衡山路,东湖路上俯瞰淮海中路洋房景观，一南一北，厅朝南房主自荐,1480万,2室2厅 | 120.89平米 | 南 | 精装 | 高楼层(共31层) | 1997年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-79592d04-4548-4939-8b05-e8dddd840456.png.296x216.jpg
20201223,徐汇,衡山路,又名帝国公寓+少有大两房+精装修、随时可以约看房主自荐,1788万,2室2厅 | 141.59平米 | 南 | 精装 | 中楼层(共7层) | 1931年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/prod-1f608170-2fbe-4a17-a83c-bf75ea8a489e.jpg.296x216.jpg
20201223,徐汇,衡山路,挂牌的历史保护建筑，尽享老上海风情,1230万,1室1厅 | 92.91平米 | 南 | 简装 | 低楼层(共7层) | 1911年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_tns2QIVzs_1.jpg.296x216.jpg
20201223,徐汇,衡山路,衡山路 小高层带电梯 售后公房满5唯一 赢在起跑线,2500万,3室2厅 | 163.26平米 | 南 | 简装 | 高楼层(共12层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wnAxX2V5G_1.jpg.296x216.jpg
20201223,徐汇,衡山路,淮海中路钻石地段，配套成熟。独栋产权新里洋房,1800万,4室1厅 | 110平米 | 南 | 简装 | 低楼层(共3层) | 1949年建 | 平房,http://image1.ljcdn.com/110000-inspection/pc1_OOve8f2w2_1.jpg.296x216.jpg
20201223,徐汇,衡山路,全屋精装修+有自用露台+全明户型+近徐家汇公园,770万,2室1厅 | 60.77平米 | 南 | 精装 | 低楼层(共7层) | 1980年建 | 板楼,http://image1.ljcdn.com/110000-inspection/8446b3d0-f81c-4d29-bf02-5b102c96b471_1000.jpg.296x216.jpg
20201223,徐汇,衡山路,安福路+大平层、业主诚售+满五年房主自荐,3200万,4室2厅 | 291.84平米 | 东 | 精装 | 低楼层(共31层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mlHA1A6O9_1.jpg.296x216.jpg
