20201223,徐汇,华东理工,家乐苑好位置低楼层业主诚意出售必看好房,350万,2室1厅 | 59.14平米 | 南 | 简装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_FQ8spntYL_1.jpg.296x216.jpg
20201223,徐汇,华东理工,中间层 双南大两室一梯两户，南北通厨卫朝北全明户型必看好房,352万,2室1厅 | 69.08平米 | 南 北 | 简装 | 中楼层(共7层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_k8NQkI15R_1.jpg.296x216.jpg
20201223,徐汇,华东理工,店长推荐、精装、满五唯一、双南两房、全明户型必看好房,353万,2室1厅 | 66.07平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_W0Jlv21fq_1.jpg.296x216.jpg
20201223,徐汇,华东理工,2000年的全明一房一厅诚意出售必看好房,279万,1室1厅 | 55.61平米 | 南 | 简装 | 高楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wfzfDx1Iu_1.jpg.296x216.jpg
20201223,徐汇,华东理工,双南精装两房，采光充足诚心出售必看好房,335万,2室1厅 | 58平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_odMm5MhzE_1.jpg.296x216.jpg
20201223,徐汇,华东理工,河景房，采光通风好，金塘唯一户型必看好房,488万,3室1厅 | 74.83平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dXA6hETsp_1.jpg.296x216.jpg
20201223,徐汇,华东理工,满五唯一，位置好，小区美丽家园，采光视野好，精装修必看好房,272万,2室1厅 | 49.13平米 | 西南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Dx4wVdk1N_1.jpg.296x216.jpg
20201223,徐汇,华东理工,满五唯一，近地铁，全明三房，采光好，视野开阔必看好房,425万,3室1厅 | 82.21平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PfMRTAX8M_1.jpg.296x216.jpg
20201223,徐汇,华东理工,凌云新村+四楼+采光好+满五唯一必看好房,270万,1室1厅 | 49.07平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_hVhsj7auU_1.jpg.296x216.jpg
20201223,徐汇,华东理工,徐汇中环内 精装修 近地铁 配套齐全 中间楼层必看好房,244万,1室1厅 | 42.51平米 | 南 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_suwCV15OP_1.jpg.296x216.jpg
20201223,徐汇,华东理工,凌云新村 2室1厅 南必看好房,340万,2室1厅 | 61.11平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5xSmirAd8_1.jpg.296x216.jpg
20201223,徐汇,华东理工,满五年税少，诚意出售，看房方便价格可谈必看好房,230万,1室1厅 | 44.75平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wEiNPDBrW_1.jpg.296x216.jpg
20201223,徐汇,华东理工,户型端正，精装修电梯两房，诚意出售必看好房,385万,2室1厅 | 72.8平米 | 西南 西 | 精装 | 低楼层(共18层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JxWKlc04P_1.jpg.296x216.jpg
20201223,徐汇,华东理工,中环内，售后公房，低楼层，小区干净。近地铁。必看好房,330万,2室1厅 | 62.19平米 | 南 北 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-6877b8c0-a2e7-4d59-8af7-badeee39d35f.jpg.296x216.jpg
20201223,徐汇,华东理工,价格低小两房，近地铁，小区环境好必看好房,265万,2室1厅 | 51.13平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2Cs966COB_1.jpg.296x216.jpg
20201223,徐汇,华东理工,双南全明户型，一梯两户，采光通风好，节省购房成本。必看好房,388万,2室1厅 | 65.62平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qrztpSHuF_1.jpg.296x216.jpg
20201223,徐汇,华东理工,店长力荐 自如装修 小区环境优美 视野宽阔 交通便利必看好房,265万,2室0厅 | 45.28平米 | 南 | 精装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4xAgCTj5u_1.jpg.296x216.jpg
20201223,徐汇,华东理工,满五唯一 税费少 一梯两户 双南 近地铁 大客厅必看好房,440万,2室2厅 | 79.24平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_TI5xv1ZA2_1.jpg.296x216.jpg
20201223,徐汇,华东理工,新上正气户型和平小区地铁大一房必看好房,250万,1室1厅 | 47.13平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_e20Owfl3C_1.jpg.296x216.jpg
20201223,徐汇,华东理工,小区好位置，独栋一梯四户东边套，业主诚心无抵押必看好房,318万,2室1厅 | 55.96平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_a554cbrXJ_1.jpg.296x216.jpg
20201223,徐汇,华东理工,全国文明小区 靠中间位置  双南两房 采光视野好必看好房,309万,2室0厅 | 57.4平米 | 南 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_a3f1bd6t2_1.jpg.296x216.jpg
20201223,徐汇,华东理工,满五年，总价低《业主诚意出售》看房方便，ViP出售必看好房,242万,1室1厅 | 48.62平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-8fde8bb0-f6e7-46eb-9a7c-bc84aaa6c99d.jpg.296x216.jpg
20201223,徐汇,华东理工,南北两房+婚房装修半年+户型好+配套设施齐全必看好房,309万,2室1厅 | 56.24平米 | 南 | 精装 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jLcWwHXSl_1.jpg.296x216.jpg
20201223,徐汇,华东理工,满五唯一，户型方正，业主诚售，采光充足必看好房,1170万,4室2厅 | 182.02平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jGfqMUJyJ_1.jpg.296x216.jpg
20201223,徐汇,华东理工,品质小区 满五，电梯房楼层好，可拎包入住。房主自荐,940万,3室2厅 | 129.89平米 | 南 北 | 简装 | 中楼层(共8层) | 1999年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-af95d909-dda8-476f-b608-830434687a20.png.296x216.jpg
20201223,徐汇,华东理工,满五唯一，精装修，不靠路，看房提前约看房主自荐,649万,3室2厅 | 122.95平米 | 南 | 精装 | 高楼层(共27层) | 1997年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_DfB6VLRdP_1.jpg.296x216.jpg
20201223,徐汇,华东理工,舒乐公寓，正气户型，价格实惠，诚意出售，随时看房。,540万,2室1厅 | 97.58平米 | 东南 | 精装 | 高楼层(共18层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/cf42d1e6-d4f9-4388-a8f5-3147bc0876d3_1000.jpg.296x216.jpg
20201223,徐汇,华东理工,少有正双南+电梯两房+三阳台+满五唯一+门口繁华+地铁新上,580万,2室2厅 | 105.76平米 | 南 | 简装 | 低楼层(共25层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_8chOTQ7Iz_1.jpg.296x216.jpg
20201223,徐汇,华东理工,近地铁，南北通透格局，采光充足，交通便利,330万,2室1厅 | 62.16平米 | 南 北 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7s28dsJxQ_1.jpg.296x216.jpg
20201223,徐汇,华东理工,得房率90%！顶楼复式，附带42平大露台，15号线地铁口房主自荐,880万,4室3厅 | 139.31平米 | 南 北 | 简装 | 6层 | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2aQneJrF8_1.jpg.296x216.jpg
20201223,徐汇,华东理工,户型方正+得房率高+业主诚意+全国文明小区,235万,1室1厅 | 39.58平米 | 南 | 简装 | 中楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WlPSafGC9_1.jpg.296x216.jpg
20201223,徐汇,华东理工,总价低，小两房，户型方正，税费少新上,327万,2室1厅 | 53.2平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_eqNgSx4Ww_1.jpg.296x216.jpg
20201223,徐汇,华东理工,小区经典两房 花园位置，楼层好位置佳，户型方正。新上,440万,2室1厅 | 76平米 | 南 北 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vZmgL5jCQ_1.jpg.296x216.jpg
20201223,徐汇,华东理工,南北两房，视野格局好，有钥匙随时看房主自荐,400万,2室1厅 | 64.1平米 | 南 | 毛坯 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_UdpLCvAsl_1.jpg.296x216.jpg
20201223,徐汇,华东理工,97年房龄 一梯两户 带13平花园 精装修 位置安静新上,500万,2室1厅 | 77.21平米 | 南 西南 | 精装 | 低楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GL2rM0DaE_1.jpg.296x216.jpg
20201223,徐汇,华东理工,动迁安置房、满五唯一，沿河景观房,316万,2室1厅 | 58.07平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jjzqg6asZ_1.jpg.296x216.jpg
20201223,徐汇,华东理工,店长推荐~！近门口位置+高楼层+精装修+双休日可看,265万,1室1厅 | 48.63平米 | 南 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_FMBRPonXy_1.jpg.296x216.jpg
20201223,徐汇,华东理工,南站交通枢纽旁小区，背靠华东理工，楼层位置好房主自荐,405万,2室1厅 | 64.19平米 | 南 北 | 精装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_VnVfVFWgj_1.jpg.296x216.jpg
20201223,徐汇,华东理工,精装修，可拎包入住，有钥匙，看房方便。房主自荐,249万,1室1厅 | 44.3平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mP2KAvv3p_1.jpg.296x216.jpg
20201223,徐汇,华东理工,商品房小区+电梯三房+全明户型新上,966万,3室2厅 | 161.5平米 | 南 | 简装 | 20层 | 1999年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_Ht0RqFgLI_1.jpg.296x216.jpg
20201223,徐汇,华东理工,店长力荐 经典三房，户型方正，楼层优.质 业主诚售房主自荐,430万,3室1厅 | 67.67平米 | 南 北 | 简装 | 中楼层(共5层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cBNxsyjfF_1.jpg.296x216.jpg
20201223,徐汇,华东理工,00年次新房、三代同堂“川流”户型-大而正气-生生不息房主自荐,643.5万,3室2厅 | 132.27平米 | 南 | 简装 | 高楼层(共5层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_e7G9IiKDr_1.jpg.296x216.jpg
20201223,徐汇,华东理工,两房两厅，满五，精装修，电梯房。,598万,2室2厅 | 111.22平米 | 南 | 简装 | 低楼层(共16层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rTibR1bDc_1.jpg.296x216.jpg
20201223,徐汇,华东理工,满五年 教师公寓＋商品房+全明户型 采光视野好房主自荐,547万,2室2厅 | 83平米 | 南 北 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_H3KMfwMcc_1.jpg.296x216.jpg
20201223,徐汇,华东理工,边套全明户型，一梯两户，小区停车方便房主自荐,385万,2室1厅 | 66.97平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_uQDdjoxRN_1.jpg.296x216.jpg
20201223,徐汇,华东理工,精装修电梯三房，全明视野开阔，产权清晰，满五唯一房主自荐,665万,3室2厅 | 123.22平米 | 东南 | 精装 | 高楼层(共25层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_2Busu94UF_1.jpg.296x216.jpg
20201223,徐汇,华东理工,精装修 全明户型 户型方正 近1号线地铁 业主诚售房主自荐,475万,3室1厅 | 88.38平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Ftx9NDbMF_1.jpg.296x216.jpg
20201223,徐汇,华东理工,中间楼层，全明户型小两房，看房方便,308万,2室1厅 | 51.76平米 | 南 | 简装 | 中楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7q6leV6VB_1.jpg.296x216.jpg
20201223,徐汇,华东理工,陇南小区680弄中间楼层采光好单价低业主诚意卖房主自荐,223万,1室1厅 | 48.19平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-28485a4b-d553-481e-a6ca-325c4d400ab0.png.296x216.jpg
