20201223,徐汇,康健,2000年电梯三房  飞机户型   看房有钥匙随时可看必看好房,1245万,3室2厅 | 139.43平米 | 南 北 | 简装 | 中楼层(共10层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cfGrrxVsn.jpg.296x216.jpg
20201223,徐汇,康健,精装大面积一房，宜居养人，产权清晰必看好房,313万,1室1厅 | 45.47平米 | 南 | 精装 | 低楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_yYA2Ozque_1.jpg.296x216.jpg
20201223,徐汇,康健,万象园带阳光房三房一厅 业主诚意卖 装修好必看好房,498万,3室1厅 | 62.7平米 | 南 | 精装 | 低楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/ecbd5dc8-0677-40f6-971c-0be374a84028_1000.jpg.296x216.jpg
20201223,徐汇,康健,近锦江乐园1号线+精装修+外销电梯房必看好房,558万,2室1厅 | 95.38平米 | 南 | 精装 | 28层 | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/e3370546-141f-498e-a356-c7044f0e407f_1000.jpg.296x216.jpg
20201223,徐汇,康健,品质小区，税费低，房东诚意出售，带产权车位，楼层好必看好房,1570万,3室2厅 | 182.14平米 | 南 | 精装 | 18层 | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_E5FXFErg5_1.jpg.296x216.jpg
20201223,徐汇,康健,双南两房 全明户型 采光通风视野好必看好房,440万,2室1厅 | 66.95平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Q1CcGQuE6_1.jpg.296x216.jpg
20201223,徐汇,康健,满五唯一 南北两房  低楼层 地铁1号线锦江乐园站必看好房,345万,2室1厅 | 53.51平米 | 南 北 | 简装 | 低楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_16D2OBJLZ_1.jpg.296x216.jpg
20201223,徐汇,康健,双南大两房，中间楼层，户型方正，看房方便，房东诚意必看好房,488万,2室1厅 | 60.98平米 | 南 | 简装 | 中楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_SZj4PCvR9_1.jpg.296x216.jpg
20201223,徐汇,康健,推荐低楼层西边套全明户型 动迁低税 产权清晰 诚售必看好房,548万,2室1厅 | 74.55平米 | 南 北 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_eBjQEOBsD_1.jpg.296x216.jpg
20201223,徐汇,康健,近锦江乐园1号线+沿河景观+环境优美必看好房,345万,2室1厅 | 60.9平米 | 西南 | 简装 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_53z8p7Fwu_1.jpg.296x216.jpg
20201223,徐汇,康健,一梯两户得房率高，小区近地铁，停车方便，税费少必看好房,450万,2室1厅 | 57.88平米 | 南 北 | 简装 | 低楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cINwL0sRB_1.jpg.296x216.jpg
20201223,徐汇,康健,只在链家出售，品质小区，房型正气，精装修，诚意出售必看好房,1250万,2室2厅 | 102.62平米 | 南 | 精装 | 高楼层(共15层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_VHLkGRlqI_1.jpg.296x216.jpg
20201223,徐汇,康健,徐汇公寓精装两房、房屋整洁干净，交通便利，配套成熟必看好房,690万,2室2厅 | 93.2平米 | 南 | 简装 | 低楼层(共18层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zBPioVxiu_1.jpg.296x216.jpg
20201223,徐汇,康健,用心选房：长青坊大一房 房子附带大露台50平左右必看好房,355万,1室1厅 | 43.85平米 | 南 北 | 简装 | 6层 | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_U9Y3bKyML_1.jpg.296x216.jpg
20201223,徐汇,康健,双南边套两房，视野开阔，低楼层采光充足一梯两户必看好房,515万,2室1厅 | 70.81平米 | 南 | 简装 | 6层 | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Mkgo0q1vD_1.jpg.296x216.jpg
20201223,徐汇,康健,新上中间楼层，全明房源，业主在家看房随时必看好房,409万,2室1厅 | 56.9平米 | 南 | 简装 | 6层 | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/e11e47b5-9d7c-40ff-9dbf-06bdd87345e6_1000.jpg.296x216.jpg
20201223,徐汇,康健,优选！至诚！+月季温馨精装全明两房+阳光炸裂满五唯一必看好房,460万,2室1厅 | 83.6平米 | 西 | 精装 | 6层 | 1989年建 | 板楼,http://image1.ljcdn.com/310000-inspection/e76a31a7-40e3-42ca-aeac-f6d1bed6f267_1000.jpg.296x216.jpg
20201223,徐汇,康健,双南正气两房 厅北有窗 户型方正 精装修 不靠马路必看好房,475万,2室1厅 | 61.1平米 | 南 | 精装 | 低楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5EOWG4l4W_1.jpg.296x216.jpg
20201223,徐汇,康健,用心选房：新上精装修一房，业主诚意出售，环境优美。必看好房,300万,1室1厅 | 42.2平米 | 南 | 简装 | 6层 | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ihg8BXDvH_1.jpg.296x216.jpg
20201223,徐汇,康健,南北通透，厨卫全明，户型方正，低总价必看好房,380万,2室1厅 | 49.38平米 | 南 北 | 精装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HCRBAdKv1_1.jpg.296x216.jpg
20201223,徐汇,康健,房型正气 采光好 近地铁   满五唯一必看好房,480万,2室1厅 | 67.97平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_roqUv69OR_1.jpg.296x216.jpg
20201223,徐汇,康健,南北两房，采光无遮挡，配套设施齐全，交通便利必看好房,415万,2室1厅 | 61.12平米 | 南 | 精装 | 低楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_C98PX6Zxa_1.jpg.296x216.jpg
20201223,徐汇,康健,寿昌坊 满二唯一大两房58.1平 精装修高性价必看好房,348万,2室1厅 | 58.1平米 | 南 | 精装 | 中楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Hbj0QgShm_1.jpg.296x216.jpg
20201223,徐汇,康健,康外+正规一房一厅，南北透透，位置佳，采光视野好必看好房,343万,1室1厅 | 42.35平米 | 南 | 简装 | 6层 | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3xnRhDrGR_1.jpg.296x216.jpg
20201223,徐汇,康健,师大新村南北两房，看房提前联系，适合新上海人过度必看好房,390万,2室1厅 | 48.77平米 | 南 | 简装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/88152e38-c791-47e5-b4bb-23dff0919421_1000.jpg.296x216.jpg
20201223,徐汇,康健,店长推荐，精准大三房，品质小区，诚意出售房主自荐,1350万,3室2厅 | 137.38平米 | 南 | 精装 | 低楼层(共11层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_k8ronUneF_1.jpg.296x216.jpg
20201223,徐汇,康健,两室朝南+客厅朝南飞机户型+交通便利+低价位,1030万,3室2厅 | 135.12平米 | 南 北 | 精装 | 16层 | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5g4Zq9qxW_1.jpg.296x216.jpg
20201223,徐汇,康健,满五唯一税费低，两房朝南户型好，厨卫朝北，采光好房主自荐,455万,2室1厅 | 70.99平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/baafb0b0-7029-4a20-98b4-b62317c094df_1000.jpg.296x216.jpg
20201223,徐汇,康健,精装修 一梯两户  楼层好 近一号线锦江乐园地铁站房主自荐,243万,1室1厅 | 41平米 | 南 | 精装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/f2bc106d-64a1-4f2e-8d2c-e4d356bf9125_1000.jpg.296x216.jpg
20201223,徐汇,康健,臻选玉兰园双南地铁大两房+中间楼层+售后公房满五唯一房主自荐,412万,2室1厅 | 77.79平米 | 南 | 精装 | 中楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tPAh1rmvX_1.jpg.296x216.jpg
20201223,徐汇,康健,桂平小区 2室1厅 南,507万,2室1厅 | 76.39平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/33ec411d-2b40-499e-b561-1b05bae4fb1c_1000.jpg.296x216.jpg
20201223,徐汇,康健,南北边套、全明户型，户型正气，近地铁房主自荐,412万,2室1厅 | 56平米 | 南 | 精装 | 高楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/2b5acf12-f07f-4f9c-a103-0c76ff8d7393_1000.jpg.296x216.jpg
20201223,徐汇,康健,睁开眼睛就能看到早上的一缕阳光房主自荐,550万,2室1厅 | 77.44平米 | 东 | 精装 | 高楼层(共30层) | 2005年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_B5jlDBoPa_1.jpg.296x216.jpg
20201223,徐汇,康健,此房不靠马路，小区靠河边位置，位置安静适合居家。,705万,3室1厅 | 95.69平米 | 南 | 简装 | 低楼层(共7层) | 1996年建 | 板楼,http://image1.ljcdn.com/310000-inspection/38a2f058-6696-40ce-86a4-609cee56e480_1000.jpg.296x216.jpg
20201223,徐汇,康健,南北复式   带电梯   精装修大5房   业主自住,1970万,5室2厅 | 206平米 | 南 北 | 精装 | 11层 | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_I69hZdEsO.jpg.296x216.jpg
20201223,徐汇,康健,07年品质小区，园林设计，人车分流， 精装大两房,1250万,2室2厅 | 110.53平米 | 南 | 精装 | 低楼层(共18层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mIVikfngP_1.jpg.296x216.jpg
20201223,徐汇,康健,全明户型，精装修，可以拎包入住，电梯南北两房新上,506万,2室1厅 | 77.7平米 | 南 北 | 精装 | 低楼层(共18层) | 1995年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/e659da0e-b809-4176-b459-3de12083bcbb_1000.jpg.296x216.jpg
