20201223,徐汇,龙华,一期中区从未入住+开发商精装+定好二期大平层+钥匙必看好房,2950万,3室2厅 | 198.9平米 | 南 | 精装 | 低楼层(共15层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_G4imUGrUu_1.jpg.296x216.jpg
20201223,徐汇,龙华,此房是满五年唯一的售后公房1/2，税费少，两房朝南必看好房,490万,2室1厅 | 60.56平米 | 南 | 简装 | 高楼层(共5层) | 1981年建 | 板楼,http://image1.ljcdn.com/110000-inspection/23f08327-18f2-42b1-a0a8-01b4fc834ccf_1000.jpg.296x216.jpg
20201223,徐汇,龙华,徐汇滨江新上一房售后公房，小区中间位置，不接近马路必看好房,285万,1室1厅 | 40.9平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YY6NNt14P_1.jpg.296x216.jpg
20201223,徐汇,龙华,近地铁 满五年婚房装修 优质楼层 大两房低总价 诚售必看好房,720万,2室1厅 | 90.03平米 | 南 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7DHIkBq30_1.jpg.296x216.jpg
20201223,徐汇,龙华,盛大花园、近地铁、近徐汇滨江、大三房必看好房,1470万,3室2厅 | 145.51平米 | 南 | 精装 | 中楼层(共21层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_f029CVL2V_1.jpg.296x216.jpg
20201223,徐汇,龙华,全新装修 满五年 诚意出售 欢迎看房必看好房,2050万,4室2厅 | 190.06平米 | 南 北 | 精装 | 中楼层(共30层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_T73cksMxF_1.jpg.296x216.jpg
20201223,徐汇,龙华,西边套全明户型，精装修，近地铁11号线，诚意出售必看好房,539万,2室1厅 | 52.68平米 | 西南 | 精装 | 高楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_StrDbZYcv_1.jpg.296x216.jpg
20201223,徐汇,龙华,徐汇滨江+中间楼层＋正看花园+采光无遮+东边套+双阳台必看好房,1150万,3室2厅 | 127.89平米 | 南 | 精装 | 低楼层(共18层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wBZquYKlK_1.jpg.296x216.jpg
20201223,徐汇,龙华,04年品质小区，配套齐全。交通便利。高区视野开阔必看好房,1500万,3室2厅 | 132.97平米 | 南 | 其他 | 中楼层(共14层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_AXwTyayyO_1.jpg.296x216.jpg
20201223,徐汇,龙华,优质顶复，小区前排，采光无遮挡必看好房,2280万,4室3厅 | 243.52平米 | 南 | 精装 | 高楼层(共12层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/63e06646-9227-4c50-a548-66a8b18a8c1a_1000.jpg.296x216.jpg
20201223,徐汇,龙华,龙南板块，稀有西边套，双南大两房，精装修拎包入住。必看好房,500万,2室1厅 | 77.25平米 | 南 | 精装 | 高楼层(共7层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BpdfE8iR7_1.jpg.296x216.jpg
20201223,徐汇,龙华,原始三房 总价低 户型佳 满五年唯一 看房便捷必看好房,888万,3室2厅 | 96.67平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Gwzs5olq5_1.jpg.296x216.jpg
20201223,徐汇,龙华,户型正气，楼层好，交通方房便，满五唯一必看好房,380万,2室1厅 | 52.84平米 | 南 | 精装 | 低楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_eYoWb7lKa_1.jpg.296x216.jpg
20201223,徐汇,龙华,双地铁，售后公房税费少，采光好视野开阔，价格可谈必看好房,512万,2室1厅 | 67平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_aOf08Tok1_1.jpg.296x216.jpg
20201223,徐汇,龙华,吉象小区一房，房东诚意出售.................必看好房,256万,1室1厅 | 30.35平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/02851274-e26f-4626-a5fd-9d30471bc768_1000.jpg.296x216.jpg
20201223,徐汇,龙华,满五不唯一，精装修，配套齐全，交通便利必看好房,315万,1室1厅 | 47.37平米 | 南 | 精装 | 中楼层(共4层) | 1974年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PGpxokboQ_1.jpg.296x216.jpg
20201223,徐汇,龙华,非顶楼，双南大2房，售后公房，满5唯，一，一梯2户必看好房,540万,2室1厅 | 77.23平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5bTRIUSU7_1.jpg.296x216.jpg
20201223,徐汇,龙华,近徐汇滨江，10平大阳台 双南采光无遮挡必看好房,850万,2室2厅 | 92.98平米 | 南 | 简装 | 18层 | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bEIRtKVeT_1.jpg.296x216.jpg
20201223,徐汇,龙华,龙华万科双南两房、中间楼层、双地铁近在咫尺、诚售必看好房,390万,2室1厅 | 55.19平米 | 南 | 简装 | 中楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6oGP2L1Jc_1.jpg.296x216.jpg
20201223,徐汇,龙华,满五唯一，单价低，大三房~小区安静，生活配套完善必看好房,600万,3室1厅 | 94.43平米 | 南 北 | 精装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-dad03c96-6450-4051-9537-81b208c6c619.jpg.296x216.jpg
