20201223,徐汇,田林,南北边套全明两房，次顶楼，视野通风采光都hen好。必看好房,395万,2室1厅 | 50.12平米 | 北 南 | 精装 | 高楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_VussfzuhP_1.jpg.296x216.jpg
20201223,徐汇,田林,售后公房 满五唯一 采光充足 看房方便 业主急售必看好房,270万,1室1厅 | 41平米 | 南 | 简装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Ibr9zTT4l_1.jpg.296x216.jpg
20201223,徐汇,田林,二期2010年小区两房朝南户型，采光无遮挡.必看好房,845万,2室1厅 | 86.17平米 | 南 | 精装 | 低楼层(共17层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GMG5Z4SH5.jpg.296x216.jpg
20201223,徐汇,田林,田林六村 中间楼层  满五  税少 精装修 拎包入住必看好房,230万,1室0厅 | 32.59平米 | 南 | 精装 | 中楼层(共6层) | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_AYRUVDppG_2.jpg.296x216.jpg
20201223,徐汇,田林,南北户型格局，小区刚刚改造，交通便利，带花园。必看好房,420万,2室1厅 | 48平米 | 南 北 | 简装 | 低楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_UdIKnPdcR_1.jpg.296x216.jpg
20201223,徐汇,田林,近内环、电梯房全明户型、10+15号线双规交汇交通便利必看好房,565万,2室1厅 | 79.66平米 | 南 | 简装 | 中楼层(共28层) | 1998年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_oCVRqlWHe_1.jpg.296x216.jpg
20201223,徐汇,田林,单位分房税费少 内环边近3.4.9轨道 业主诚意出售必看好房,480万,2室1厅 | 81.17平米 | 南 | 简装 | 中楼层(共29层) | 1995年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_Cqx81M2tO_1.jpg.296x216.jpg
20201223,徐汇,田林,精装修大三房，全明户型，前方绿地，视野开阔必看好房,730万,3室2厅 | 107.64平米 | 南 | 精装 | 中楼层(共18层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_InHfTDtVx_1.jpg.296x216.jpg
20201223,徐汇,田林,店长推荐：（单位分房+唯一）精装修&拎包入住，采光好必看好房,283万,1室1厅 | 34.51平米 | 南 | 精装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_y13LY1CUF_1.jpg.296x216.jpg
20201223,徐汇,田林,双南大两房，售后公房，近地铁3/49号线必看好房,455万,2室1厅 | 81.17平米 | 南 | 精装 | 低楼层(共29层) | 1995年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_d21N7r7YQ_1.jpg.296x216.jpg
20201223,徐汇,田林,内环旁大三房，精装修，板楼全明户型，可拎包入住，必看好房,869万,3室2厅 | 120.79平米 | 南 | 精装 | 高楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Oxx4w6t46_1.jpg.296x216.jpg
