20201223,徐汇,万体馆,满五唯一+增值税少+六开间朝南+54%绿化+V1P委托必看好房,1350万,2室2厅 | 140.35平米 | 南 | 精装 | 低楼层(共27层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_H074wYtsw_1.jpg.296x216.jpg
20201223,徐汇,万体馆,内环内双南两房，采光好，高性价低总价，随时可看必看好房,365万,2室0厅 | 52.06平米 | 南 | 简装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_LZZrtXkCZ_1.jpg.296x216.jpg
20201223,徐汇,万体馆,兑寇球职电梯房+交通便利+物业好+配套齐全必看好房,880万,3室2厅 | 125.46平米 | 南 | 简装 | 低楼层(共9层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_c72WEHH6A_1.jpg.296x216.jpg
20201223,徐汇,万体馆,满五年五一、高楼层、小区中间楼栋必看好房,1591万,3室2厅 | 147平米 | 南 北 | 精装 | 中楼层(共35层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_lrHjPEFk8_1.jpg.296x216.jpg
20201223,徐汇,万体馆,V1P委托+凤毛麟角的复式+六开间朝南+景观位置+54%绿化必看好房,1365万,3室2厅 | 139.11平米 | 南 | 精装 | 低楼层(共33层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fDWEPQF6u_1.jpg.296x216.jpg
20201223,徐汇,万体馆,户型方正，比较少见，房东诚意出售必看好房,725万,2室2厅 | 92.12平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_zk2NJcIXZ_1.jpg.296x216.jpg
20201223,徐汇,万体馆,兑叩球职+户型正气+采光通风佳，近地铁，业主诚意出售必看好房,580万,2室1厅 | 82.16平米 | 东南 | 简装 | 低楼层(共22层) | 1997年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_Zu6cXqPxw_1.jpg.296x216.jpg
20201223,徐汇,万体馆,中高楼层，户型正气，新豪.装，漕河泾街道佳友居委必看好房,735万,2室2厅 | 99.22平米 | 南 | 精装 | 中楼层(共22层) | 1997年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/pc1_CFFo01EpJ_1.jpg.296x216.jpg
20201223,徐汇,万体馆,地铁3.11.12.1号线+电梯三房2卫+西边套全明+近日月光必看好房,828万,3室2厅 | 126.33平米 | 南 北 | 简装 | 低楼层(共15层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_TXr5eU2Cj_1.jpg.296x216.jpg
20201223,徐汇,万体馆,4/1/11号线+得房率94%+户型超好+中间楼层+位置安静必看好房,280万,1室1厅 | 37.04平米 | 南 | 简装 | 中楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wYJFyVN2H_1.jpg.296x216.jpg
20201223,徐汇,万体馆,双南精装修两房+小区中间位置+看房方便+诚意出售必看好房,478万,2室1厅 | 60.37平米 | 南 | 精装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_hvnHYw3fa_1.jpg.296x216.jpg
20201223,徐汇,万体馆,精装电梯房 两房南北通   产权清晰 满五唯一必看好房,460万,2室1厅 | 70.66平米 | 南 | 精装 | 低楼层(共18层) | 1993年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_eZnSbikfs_1.jpg.296x216.jpg
20201223,徐汇,万体馆,徐汇漕河泾华富居委+近日月光+精装修+4轨交汇必看好房,425万,2室1厅 | 60.34平米 | 南 | 精装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-cee4d725-7950-4670-8327-cbe85db0328e.jpg.296x216.jpg
20201223,徐汇,万体馆,96年商品房，品质小区，朝南大三房，近地铁房主自荐,920万,3室2厅 | 130.41平米 | 南 北 | 精装 | 中楼层(共24层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_yJvNryuOH_1.jpg.296x216.jpg
20201223,徐汇,万体馆,凯翔小区 1室1厅 东北新上,430万,1室1厅 | 53.19平米 | 东北 | 精装 | 中楼层(共18层) | 1991年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_fnjQPKbwQ_1.jpg.296x216.jpg
20201223,徐汇,万体馆,金谷园 1室1厅 西南新上,430万,1室1厅 | 55.73平米 | 西南 | 简装 | 低楼层(共18层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_hLjw5xX27_1.jpg.296x216.jpg
20201223,徐汇,万体馆,对寇球职 满五唯一 采光好 户型佳 诚意出售新上,370万,1室1厅 | 39.7平米 | 南 | 精装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HMmEPaLYc_1.jpg.296x216.jpg
20201223,徐汇,万体馆,1/4/11地铁口+全明户型+税费各付+vip房源+附精装修新上,375万,2室1厅 | 50.63平米 | 南 | 简装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tW1URxnky_1.jpg.296x216.jpg
20201223,徐汇,万体馆,宜仕怡家 2室2厅 南新上,900万,2室2厅 | 87.85平米 | 南 | 简装 | 中楼层(共18层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JmoCo9ElL_1.jpg.296x216.jpg
20201223,徐汇,万体馆,内环内铂金地段电梯房，三房两厅两卫，低于市场价房主自荐,666万,3室2厅 | 129.3平米 | 南 北 | 简装 | 低楼层(共19层) | 1997年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_3cgcseLDF_1.jpg.296x216.jpg
20201223,徐汇,万体馆,经典飞机户型+有产权车位+南北通透+采光无遮挡+54绿化房主自荐,1420万,4室2厅 | 158.26平米 | 南 北 | 精装 | 低楼层(共30层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2B7FgurLE_1.jpg.296x216.jpg
20201223,徐汇,万体馆,中高楼层，满五税费少，户型正气，新豪.装，业主诚售房主自荐,890万,3室2厅 | 122.93平米 | 西南 | 精装 | 中楼层(共22层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_OL7FbBOGd_1.jpg.296x216.jpg
20201223,徐汇,万体馆,四房 四卫 两厅+独特的户型+诚意出售单价低房主自荐,630万,4室2厅 | 115.08平米 | 南 | 精装 | 高楼层(共4层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3xLGn1ONc_1.jpg.296x216.jpg
20201223,徐汇,万体馆,凯翔小区 3室2厅 东 南 北,810万,3室2厅 | 89.02平米 | 东 南 北 | 精装 | 中楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1yaxqUYxL_1.jpg.296x216.jpg
20201223,徐汇,万体馆,精装修 南北两房采光好 1,3,12三轨交汇 业主诚意出售,570万,2室1厅 | 80.28平米 | 南 北 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_QeElyGdCd_1.jpg.296x216.jpg
20201223,徐汇,万体馆,楼层好，视野佳，买入价高，税少，诚意出售。,828万,2室2厅 | 92.54平米 | 南 北 | 其他 | 中楼层(共20层) | 1998年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_SY4Urwj0S_1.jpg.296x216.jpg
20201223,徐汇,万体馆,交通便利+采光好，无遮挡+急售房主自荐,215万,1室1厅 | 32.11平米 | 南 | 简装 | 高楼层(共5层) | 1978年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rzbcfwHIL_2.jpg.296x216.jpg
20201223,徐汇,万体馆,满五唯一+三轨沿线+双南户型+精装修房主自荐,495万,2室2厅 | 74.4平米 | 南 | 精装 | 高楼层(共7层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gU7OMXc9a_1.jpg.296x216.jpg
20201223,徐汇,万体馆,内环内，居家装修，一房一厅带外阳台，随时看房,265万,1室1厅 | 38.01平米 | 南 | 简装 | 高楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Lbvq1fSGF_1.jpg.296x216.jpg
20201223,徐汇,万体馆,电梯一梯三户+求之加田叁+双南大两房+房龄新房主自荐,710万,2室1厅 | 78平米 | 南 | 简装 | 高楼层(共7层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3H0DW1fgg_1.jpg.296x216.jpg
20201223,徐汇,万体馆,满五唯一税费少，三阳台，生活配套齐全房主自荐,970万,2室2厅 | 105.8平米 | 南 | 精装 | 中楼层(共18层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WL9oyJU5K_1.jpg.296x216.jpg
20201223,徐汇,万体馆,漕溪二村，居家装修，满五唯一，复式结构房龄新户型好房主自荐,570万,2室1厅 | 81.42平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tSZVd0Iau_1.jpg.296x216.jpg
20201223,徐汇,万体馆,好房子！精装修，户型方正，客厅可跳广场舞,768万,2室1厅 | 96.43平米 | 南 | 精装 | 高楼层(共18层) | 1997年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_wE7IDg0r3_1.jpg.296x216.jpg
20201223,徐汇,万体馆,万体公园+A房总价低+满五唯一+看房方便诚意卖房主自荐,225万,1室0厅 | 32.32平米 | 南 | 毛坯 | 高楼层(共6层) | 1980年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_I5GAExKWd_1.jpg.296x216.jpg
20201223,徐汇,万体馆,双南双天井 阳光房，近1/12号地铁线房主自荐,410万,2室1厅 | 50.03平米 | 南 | 简装 | 低楼层(共5层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_lpxWoe1HH_1.jpg.296x216.jpg
20201223,徐汇,万体馆,求职+填叁，满五唯一，楼层佳，全明户型房主自荐,568万,2室1厅 | 78.96平米 | 南 | 简装 | 低楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WRv9imD8i_1.jpg.296x216.jpg
20201223,徐汇,万体馆,南北通透+全明户型+近地铁+低楼层,488万,2室1厅 | 67.12平米 | 南 北 | 毛坯 | 低楼层(共5层) | 1960年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PetrXKscM_1.jpg.296x216.jpg
20201223,徐汇,万体馆,两房朝南+售后公房满五唯一+近地铁1、3、12号线房主自荐,470万,2室1厅 | 57.2平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_x99xLVUKz_1.jpg.296x216.jpg
20201223,徐汇,万体馆,这边唯一中楼层小户型，赶紧上车吧，税费少,375万,1室1厅 | 40.52平米 | 南 | 毛坯 | 中楼层(共5层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_750iNeRcu_1.jpg.296x216.jpg
20201223,徐汇,万体馆,地铁口小区+户型超好+中间楼层+位置安静,298万,1室1厅 | 39.78平米 | 南 | 简装 | 中楼层(共6层) | 1978年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_CRWHqlHhk_1.jpg.296x216.jpg
20201223,徐汇,万体馆,电梯房高区 视野好到哇塞 地铁口步行300米交通方便房主自荐,650万,2室2厅 | 85.48平米 | 西北 | 简装 | 高楼层(共26层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_6yynFCbfG_1.jpg.296x216.jpg
20201223,徐汇,万体馆,体育公园+1/4/11地体旁+独立小院+可亮房用+税费各付房主自荐,325万,1室1厅 | 38.41平米 | 南 | 精装 | 低楼层(共6层) | 1980年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ChXXvoLQc_1.jpg.296x216.jpg
