20201223,徐汇,斜土路,内环内，低总价三房，电梯高层，采光好，钥匙随时可看必看好房,970万,3室2厅 | 111.07平米 | 南 | 简装 | 高楼层(共26层) | 2001年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_60PxQc0aq_1.jpg.296x216.jpg
20201223,徐汇,斜土路,徐汇内环+中区电梯房+南北通风+采光视野棒+售后公房必看好房,510万,2室1厅 | 58.56平米 | 南 北 | 简装 | 中楼层(共16层) | 1988年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_SLtc4G5F7_1.jpg.296x216.jpg
20201223,徐汇,斜土路,楼层好，视野宽阔，采光充足通风好，配套完善必看好房,1380万,3室2厅 | 145.82平米 | 南 北 | 精装 | 高楼层(共24层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_QJ3fJzQzq_1.jpg.296x216.jpg
20201223,徐汇,斜土路,2001年房龄，全明户型，诚意出售必看好房,770万,2室2厅 | 97.96平米 | 南 | 简装 | 低楼层(共26层) | 2001年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_hN5XSOxWi_1.jpg.296x216.jpg
20201223,徐汇,斜土路,总价低+面积大+户型正气+光线好+交通便利必看好房,1240万,3室2厅 | 147.98平米 | 南 | 精装 | 低楼层(共24层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_q1lKnw5JV_1.jpg.296x216.jpg
20201223,徐汇,斜土路,徐汇内环近地铁，成熟地段，户型正气，高区在售必看好房,900万,2室2厅 | 111.6平米 | 西南 | 精装 | 高楼层(共23层) | 2005年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_wqZvWIHAV_1.jpg.296x216.jpg
20201223,徐汇,斜土路,鐡飞人西木小区非顶楼朝南带阳台房龄新1房半诚意出售必看好房,250万,1室0厅 | 35.12平米 | 南 | 简装 | 高楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4kebESCBN_1.jpg.296x216.jpg
20201223,徐汇,斜土路,中间楼层朝南一室户，精装修拎包入住，满五年唯一必看好房,310万,1室1厅 | 40.29平米 | 南 | 精装 | 中楼层(共7层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YiX0frFUa_1.jpg.296x216.jpg
20201223,徐汇,斜土路,南北两房+边套全明+一门关总价低必看好房,309万,2室1厅 | 47.42平米 | 南 北 | 简装 | 高楼层(共5层) | 1954年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_OAjz5nmUE_1.jpg.296x216.jpg
20201223,徐汇,斜土路,地铁4/12,中间楼层一室一厅，1梯4户，采光好楼道干净必看好房,305万,1室1厅 | 52.8平米 | 南 | 毛坯 | 中楼层(共5层) | 1954年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_t7bKv1MoQ_1.jpg.296x216.jpg
20201223,徐汇,斜土路,降价11万出售+86年房龄+价格还可以谈+我实地看过！房主自荐,285万,1室1厅 | 37.91平米 | 南 | 精装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-6ed8e352-d083-45b2-a127-bab24a6c0072.png.296x216.jpg
