20201223,徐汇,徐家汇,精装一房一厅 内环内 房龄新 业主诚意出售必看好房,245万,1室1厅 | 39.17平米 | 南 | 精装 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_OZjRgarVl_1.jpg.296x216.jpg
20201223,徐汇,徐家汇,钻石地段明星小区，TOP梯队，精致两房，看房方便必看好房,1395万,2室2厅 | 95.07平米 | 东南 | 精装 | 中楼层(共36层) | 2005年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_ftHLXSqtr_1.jpg.296x216.jpg
20201223,徐汇,徐家汇,南天大楼 2室2厅 南必看好房,650万,2室2厅 | 68.1平米 | 南 | 精装 | 低楼层(共23层) | 1991年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_cgRaNx9eq_1.jpg.296x216.jpg
20201223,徐汇,徐家汇,售后公房 精装修拎包入住 满五年 有名 额 采光视野好必看好房,400万,1室1厅 | 34.31平米 | 南 | 精装 | 高楼层(共5层) | 1978年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_f9n34gP2H_1.jpg.296x216.jpg
20201223,徐汇,徐家汇,满五唯一+近地铁+精装修可拎包入住必看好房,388万,2室1厅 | 51.56平米 | 南 北 | 精装 | 高楼层(共5层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bd7ZPbMLy_1.jpg.296x216.jpg
20201223,徐汇,徐家汇,高品质三房，全明户型，俯瞰交大，港式物业管理，诚售必看好房,1600万,3室2厅 | 129.24平米 | 西南 | 精装 | 高楼层(共33层) | 1999年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_ws7KPhBCb_1.jpg.296x216.jpg
20201223,徐汇,徐家汇,精装修，楼层好，视野开阔，采光充足，生活配套齐全！必看好房,1850万,3室2厅 | 226平米 | 东北 | 精装 | 高楼层(共28层) | 1998年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_jb6GlOK6A_1.jpg.296x216.jpg
20201223,徐汇,徐家汇,满五不一精装修楼层好，视野开阔,生活配套齐全！必看好房,2380万,3室2厅 | 208平米 | 南 | 精装 | 高楼层(共28层) | 1998年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_aCxJxF5DV_1.jpg.296x216.jpg
20201223,徐汇,徐家汇,内环内，满五唯一，近地铁，二加一户型，北面附带露台必看好房,710万,3室1厅 | 97.26平米 | 南 | 精装 | 高楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_m8CYdAdR3_1.jpg.296x216.jpg
20201223,徐汇,徐家汇,乐山六七村中间楼层两房，精装业主诚心出售必看好房,553万,2室0厅 | 51.61平米 | 南 | 精装 | 中楼层(共7层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Hi73cPfbD_1.jpg.296x216.jpg
20201223,徐汇,徐家汇,诚意出售，价格可谈，中间楼层。必看好房,395万,1室0厅 | 30.06平米 | 南 | 精装 | 中楼层(共5层) | 1981年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_235UsBjx9_1.jpg.296x216.jpg
20201223,徐汇,徐家汇,双南两房带双阳台+方正户型+精装修采光好+位置安静必看好房,950万,2室1厅 | 105.74平米 | 南 | 精装 | 中楼层(共23层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cJC4pEDjv_1.jpg.296x216.jpg
20201223,徐汇,徐家汇,上海医科大学老师福利分房、满五唯一、购房成本低必看好房,675万,2室2厅 | 73.99平米 | 南 | 简装 | 低楼层(共24层) | 1998年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_jmZqqfekD_1.jpg.296x216.jpg
20201223,徐汇,徐家汇,徐家汇商圈楼层好，南北通 西边套，小两房，利用率高必看好房,400万,2室1厅 | 49.82平米 | 南 | 简装 | 高楼层(共5层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wo4BZs6DU_1.jpg.296x216.jpg
