20201223,徐汇,植物园,中恒苑两房，边套全明。楼层好视野佳！必看好房,428万,2室2厅 | 60.38平米 | 南 | 精装 | 中楼层(共7层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_098Z2mBYk_1.jpg.296x216.jpg
20201223,徐汇,植物园,南苑别墅全明户型，独立安保，位置好采光好必看好房,530万,2室2厅 | 65.1平米 | 南 | 简装 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2Xc6S7LuC_1.jpg.296x216.jpg
20201223,徐汇,植物园,出门就是地铁+恒龙苑+非顶楼+有钥匙+婚房装修+税少必看好房,281万,1室1厅 | 48.58平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_AQ42w3mYh_1.jpg.296x216.jpg
20201223,徐汇,植物园,满5年唯一，南北通格局，装修屋况保养好，户型方正,850万,3室2厅 | 117.32平米 | 南 | 精装 | 低楼层(共5层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_nZXY1Chnf_1.jpg.296x216.jpg
20201223,徐汇,植物园,双南两房+电梯房+中间楼层视野好+满五唯一+看房方便新上,450万,2室1厅 | 75.15平米 | 南 | 简装 | 中楼层(共24层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_a1mk0VwGR_1.jpg.296x216.jpg
20201223,徐汇,植物园,双南双天井，户型方正配套齐全，交通便利,480万,2室1厅 | 56平米 | 南 | 简装 | 低楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vi8Q57tdU_1.jpg.296x216.jpg
20201223,徐汇,植物园,满五唯一南北两房，视野开阔，诚意出售房主自荐,290万,2室1厅 | 58.36平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-b79e5206-75be-459d-8858-68287f649554.png.296x216.jpg
20201223,徐汇,植物园,户型方正 得房率高 采光佳 近地铁新上,400万,2室1厅 | 59平米 | 南 北 | 简装 | 高楼层(共7层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_uZlJmQZ5A_1.jpg.296x216.jpg
20201223,徐汇,植物园,满五不唯一+价格低+交通方便+业主诚意出售新上,480万,3室1厅 | 104.32平米 | 南 | 简装 | 中楼层(共24层) | 1999年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_ujWBxeyyd_1.jpg.296x216.jpg
20201223,徐汇,植物园,诚意出售小区环境好电梯房适合改善型客户房主自荐,820万,3室1厅 | 108.23平米 | 南 | 简装 | 中楼层(共14层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_majjaV9V4_1.jpg.296x216.jpg
20201223,徐汇,植物园,精装修，采光无碍，满五唯一，诚意出售，配套成熟房主自荐,268万,2室0厅 | 48.97平米 | 南 北 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cxuPiSOad_1.jpg.296x216.jpg
20201223,徐汇,植物园,小户型总价低  在南边一排无遮挡  诚心卖房主自荐,375万,1室1厅 | 55.55平米 | 南 | 毛坯 | 低楼层(共35层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_uRggNJNu6_1.jpg.296x216.jpg
20201223,徐汇,植物园,一楼带花园，房源位置好，房东诚意卖，欢迎来看房,239万,1室1厅 | 38.55平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Auyt7guC2_1.jpg.296x216.jpg
20201223,徐汇,植物园,一梯两户，带双天井，售后公房，诚意出售新上,435万,2室1厅 | 58.88平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_QayBTJTmu_1.jpg.296x216.jpg
20201223,徐汇,植物园,双南双阳台+位置好采光佳+大两房空间大+固定车位,439万,2室1厅 | 77.03平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_usTJA0gPO_1.jpg.296x216.jpg
20201223,徐汇,植物园,园南二村 双南两房一厅 售后公房 免增值税,460万,2室1厅 | 61.5平米 | 南 | 简装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_QH7MkMw3b_1.jpg.296x216.jpg
20201223,徐汇,植物园,园南二村 南北两房 厨卫朝北 满五唯一新上,520万,2室1厅 | 64.56平米 | 南 | 简装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wxX3wqJ2k_1.jpg.296x216.jpg
20201223,徐汇,植物园,采光好，近地铁，户型方正，通风效果好,280万,2室0厅 | 51.95平米 | 东 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qfl8zQ6Jy_1.jpg.296x216.jpg
20201223,徐汇,植物园,店长力荐，动迁房，满五唯一，低税费房主自荐,340万,2室1厅 | 63.08平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ayqzgD3SZ_1.jpg.296x216.jpg
