20201223,杨浦,鞍山,新上房源，南北一房一厅，得房率高，看房方便。必看好房,430万,1室1厅 | 41.22平米 | 南 北 | 精装 | 高楼层(共5层) | 1974年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mBL05QLnw_1.jpg.296x216.jpg
20201223,杨浦,鞍山,边套全明，满五不唯一，顶楼采光必看好房,485万,1室1厅 | 42.27平米 | 南 | 简装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WBfrqfeYf_1.jpg.296x216.jpg
20201223,杨浦,鞍山,同济新村＋近地铁＋房龄新＋小区环境好必看好房,618万,2室1厅 | 60.96平米 | 南 | 简装 | 中楼层(共7层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7RVVAU4bU_1.jpg.296x216.jpg
20201223,杨浦,鞍山,10号线同济大学站，旁精装双南全明，阁楼全明实用40平必看好房,565万,2室1厅 | 50.94平米 | 南 | 精装 | 高楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gLvnom4st_1.jpg.296x216.jpg
20201223,杨浦,鞍山,婚房装修+满五年唯一+三轨地铁公园房近紫荆广场必看好房,625万,3室1厅 | 85.66平米 | 南 | 精装 | 低楼层(共18层) | 1994年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_9odzzj7uT_1.jpg.296x216.jpg
20201223,杨浦,鞍山,朝南双天井+双轨交通+低总价好房+业主诚意出售必看好房,260万,2室0厅 | 33.17平米 | 南 | 简装 | 低楼层(共4层) | 1953年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fmjbCYEFs_1.jpg.296x216.jpg
20201223,杨浦,鞍山,双南两房＋楼层中间＋同济生活方便必看好房,455万,2室1厅 | 63.79平米 | 南 | 简装 | 中楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_oM9PBcewT_1.jpg.296x216.jpg
20201223,杨浦,鞍山,品质小区 南北大两房 南北通透 采光好必看好房,1250万,2室2厅 | 133.59平米 | 南 北 | 精装 | 中楼层(共22层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_w9DmlMaQH_1.jpg.296x216.jpg
20201223,杨浦,鞍山,97年房龄，中间楼层，采光好一室半户型，南北通风必看好房,310万,1室1厅 | 49.11平米 | 南 | 简装 | 中楼层(共5层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0YT1lvIL9_1.jpg.296x216.jpg
20201223,杨浦,鞍山,得房率高，房型整齐，一梯两户，中间楼层！必看好房,510万,2室1厅 | 52.59平米 | 南 | 简装 | 中楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_l6KR8s7qr_1.jpg.296x216.jpg
20201223,杨浦,鞍山,鞍山四村 1993年一梯四户 南边小区花园无遮挡必看好房,289万,1室1厅 | 39.03平米 | 南 | 精装 | 高楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WPWzqivUf_1.jpg.296x216.jpg
20201223,杨浦,鞍山,19年精装，93年新房龄，坐南朝北双客厅，储物空间大必看好房,630万,2室2厅 | 62.64平米 | 南 | 精装 | 中楼层(共7层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_QZbGMJBQM_1.jpg.296x216.jpg
20201223,杨浦,鞍山,满五唯一，售后公房，诚意出售，采光视野好必看好房,560万,2室2厅 | 84.93平米 | 南 北 | 简装 | 中楼层(共5层) | 1965年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_S56V8jIX0_1.jpg.296x216.jpg
20201223,杨浦,鞍山,双南精装2房+附有阁楼+满五年+双地铁交汇必看好房,450万,2室1厅 | 51.53平米 | 南 | 简装 | 高楼层(共5层) | 1979年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_czyYaVuMN_1.jpg.296x216.jpg
20201223,杨浦,鞍山,恒联新天地花园，满五唯一，户型好，一梯两户，品质好必看好房,1020万,3室2厅 | 123.88平米 | 南 | 精装 | 低楼层(共14层) | 2003年建 | 板楼,http://image1.ljcdn.com/310000-inspection/abf0f6eb-1dcf-47da-b912-75a2b29dc1fc_1000.jpg.296x216.jpg
20201223,杨浦,鞍山,双轨交通《8  10号线》 税费少 精装修 带有天井必看好房,450万,1室1厅 | 48.34平米 | 东 | 简装 | 低楼层(共18层) | 1989年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_BqFiWPR2v_1.jpg.296x216.jpg
20201223,杨浦,鞍山,采光通风好，精装修可拎包入住。必看好房,449万,1室1厅 | 40.48平米 | 南 | 精装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7BFgfKqeU_1.jpg.296x216.jpg
20201223,杨浦,鞍山,我是本房维护人 朝南一门关8，10双轨交汇+22平方阁楼必看好房,358万,2室1厅 | 47.64平米 | 南 | 简装 | 高楼层(共5层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cQabm7l2t_1.jpg.296x216.jpg
20201223,杨浦,鞍山,房子满五年，有车位，远离马路，近地铁、高区精装修必看好房,698万,2室1厅 | 85.27平米 | 南 | 精装 | 高楼层(共28层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_UnPcsXHhE_1.jpg.296x216.jpg
20201223,杨浦,鞍山,售后公房，房型正气，精装修拎包入住，满五唯一必看好房,510万,2室1厅 | 49.9平米 | 南 | 精装 | 高楼层(共6层) | 1980年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_pwP4agxuM_1.jpg.296x216.jpg
20201223,杨浦,鞍山,1988年房龄，满五唯一，双南双阳台，交通便利，近地铁必看好房,550万,2室1厅 | 66.92平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_uAfhBIQG1_1.jpg.296x216.jpg
20201223,杨浦,鞍山,满五年唯一+房龄新好贷款+楼层好+可看房必看好房,189万,1室0厅 | 31.47平米 | 南 | 精装 | 中楼层(共5层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/8595468682e53546dd5e50e87b12d881-027.jpg.296x216.jpg
20201223,杨浦,鞍山,靠河松鹤公园，精装房型南北通双阳台 ，出门地铁站必看好房,1150万,3室2厅 | 131.86平米 | 南 | 精装 | 中楼层(共14层) | 2003年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/f1786df0-58fb-4e9b-b948-489c3c64550e.png.296x216.jpg
20201223,杨浦,鞍山,满五唯一，精装修，低楼层，出入方便，1992年原建房主自荐,190万,1室1厅 | 27.72平米 | 南 | 精装 | 低楼层(共7层) | 1991年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-24a57c4b-8ac1-4e42-bd98-262e2dce7e19.jpg.296x216.jpg
20201223,杨浦,鞍山,鞍山八村 2室1厅 南新上,470万,2室1厅 | 52.03平米 | 南 | 精装 | 高楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Q6W5KF7ma_1.jpg.296x216.jpg
20201223,杨浦,鞍山,双辽新村本弄 居家朝南一室半 厨卫全明 好楼层好采光房主自荐,275.4万,1室1厅 | 40.51平米 | 南 | 简装 | 高楼层(共6层) | 1983年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-396a7465-74d6-4083-8a60-596a060a497e.jpg.296x216.jpg
20201223,杨浦,鞍山,价格美丽，阳光全天，业主诚售，产权清晰，看房方便！,1080万,3室2厅 | 129.39平米 | 南 西 北 | 简装 | 高楼层(共18层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vJxX6kKSX_1.jpg.296x216.jpg
