20201223,杨浦,东外滩,售后公房税费少，全新装修未住过人！有钥匙随时看必看好房,515万,2室1厅 | 67.48平米 | 南 | 精装 | 高楼层(共7层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gVV6MV6nm_1.jpg.296x216.jpg
20201223,杨浦,东外滩,满五唯一税费少，三房两厅两卫均有明窗，有钥匙好看房必看好房,950万,3室2厅 | 136.1平米 | 南 | 简装 | 低楼层(共8层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KJJOHpcXX_1.jpg.296x216.jpg
20201223,杨浦,东外滩,滨江板块，电梯房顶楼复式，房东诚意急售，近地铁必看好房,1340万,3室3厅 | 177.1平米 | 南 | 精装 | 高楼层(共11层) | 2001年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_BhNP5VFtl_1.jpg.296x216.jpg
20201223,杨浦,东外滩,精装修的三房，朝南大飘窗 满五唯一税费少，看房方便必看好房,950万,3室2厅 | 115.21平米 | 南 | 精装 | 高楼层(共18层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_q9YDrqHha.jpg.296x216.jpg
20201223,杨浦,东外滩,东外滩内环内滨江板块+精美三房+满五唯一+随时看房必看好房,960万,3室2厅 | 104.2平米 | 南 | 精装 | 低楼层(共22层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_sxGNgk8Yg_1.jpg.296x216.jpg
20201223,杨浦,东外滩,广杭苑正气两房朝南，厅朝南，楼层好，精装修。必看好房,610万,2室2厅 | 95.33平米 | 南 北 | 精装 | 中楼层(共7层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_VNbaBR6IA_1.jpg.296x216.jpg
20201223,杨浦,东外滩,内环内滨江，近渔人码头楼层好，全明户型，视野好必看好房,265万,1室1厅 | 33.39平米 | 南 | 精装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cWQX2NziS_1.jpg.296x216.jpg
20201223,杨浦,东外滩,南北两房，带一个书房，配套齐全，交通便捷，采光通风必看好房,618万,3室2厅 | 97平米 | 南 | 精装 | 中楼层(共16层) | 1992年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_gvuJro8J8_1.jpg.296x216.jpg
20201223,杨浦,东外滩,丹江新苑 2室2厅 南必看好房,670万,2室2厅 | 103.72平米 | 南 | 简装 | 低楼层(共23层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HTb4uJJnW.jpg.296x216.jpg
20201223,杨浦,东外滩,单价实惠，总价低小户型，地段好，诚意出售价格可议,270万,1室1厅 | 36.2平米 | 南 | 毛坯 | 中楼层(共7层) | 1987年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-9eaf7939-ccc9-4ee5-8274-e08a3c3225b4.jpg.296x216.jpg
20201223,杨浦,东外滩,满五年唯一 南北通格局好 采光无遮挡,1080万,3室2厅 | 129.45平米 | 南 北 | 精装 | 低楼层(共14层) | 2006年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-d8c760b3-5c55-4f24-9d48-28899bb41064.jpg.296x216.jpg
