20201223,杨浦,黄兴公园,次新小区，配套设施齐全配套成熟，交通便利，诚心出售必看好房,420万,1室1厅 | 54.77平米 | 南 | 精装 | 低楼层(共11层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xzdSzGlde_1.jpg.296x216.jpg
20201223,杨浦,黄兴公园,02年次新房+全明户型+一梯两户+靠黄兴公园+带花园！必看好房,815万,3室2厅 | 129.8平米 | 南 北 | 简装 | 低楼层(共7层) | 2002年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_NO3SRa15z_1.jpg.296x216.jpg
20201223,杨浦,黄兴公园,钥匙房   诚意出售  电梯景观房 户型正气   产权清晰必看好房,799万,2室2厅 | 114.69平米 | 南 | 简装 | 高楼层(共17层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/0db228d7-9873-4ddf-83a6-df0d59644422_1000.jpg.296x216.jpg
20201223,杨浦,黄兴公园,黄兴公园旁售后公房满五不唯一，精装两房，诚意出售必看好房,303万,2室1厅 | 52.58平米 | 南 | 精装 | 中楼层(共7层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/58c1a000-a173-497d-b139-3c3058c0f567_1000.jpg.296x216.jpg
20201223,杨浦,黄兴公园,店长推荐   一梯两户   全明户型必看好房,745万,2室2厅 | 89.03平米 | 南 北 | 简装 | 低楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/186dd5ba-9625-434e-9109-ec3874d61721_1000.jpg.296x216.jpg
20201223,杨浦,黄兴公园,精装修朝南一门关+近地铁临公园+延吉示范性小区必看好房,210万,1室1厅 | 35.6平米 | 南 | 精装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_VuCoqR2WP_1.jpg.296x216.jpg
20201223,杨浦,黄兴公园,房东诚意出售 价格可谈 看房方便必看好房,950万,3室2厅 | 129.28平米 | 南 | 简装 | 高楼层(共9层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_x7I5p8SMV_1.jpg.296x216.jpg
20201223,杨浦,黄兴公园,售后公房，中楼层、东边套全明、采光好必看好房,608万,3室1厅 | 81.78平米 | 南 | 精装 | 中楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_reyHsOYF4.jpg.296x216.jpg
20201223,杨浦,黄兴公园,近地铁，交通便利，想了解信息随时可以咨询必看好房,200万,1室1厅 | 34.9平米 | 南 | 简装 | 低楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/c72d790f-53be-441e-abb5-835568121824_1000.jpg.296x216.jpg
20201223,杨浦,黄兴公园,钥匙房随时可看，满五，精装修，业主诚意出售！！必看好房,236万,1室1厅 | 47.91平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9zDNoPBl6_1.jpg.296x216.jpg
20201223,杨浦,黄兴公园,此房近公园 店长主推 距离8号线 黄兴公园近必看好房,513万,2室1厅 | 69.84平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/41188d11-20d9-422c-87ac-d495a34981a5_1000.jpg.296x216.jpg
20201223,杨浦,黄兴公园,满五唯一税费少，精装修可拎包入住，中间楼层必看好房,340万,1室1厅 | 37.54平米 | 南 | 精装 | 中楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_lsqZLoSyn_1.jpg.296x216.jpg
20201223,杨浦,黄兴公园,采光通风好、中间楼层、配套齐全、不靠马路必看好房,325万,2室1厅 | 49.94平米 | 南 北 | 简装 | 中楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_nYLj15fcD_1.jpg.296x216.jpg
20201223,杨浦,黄兴公园,长白三村 1室0厅 东 北必看好房,148万,1室0厅 | 28.35平米 | 东 北 | 简装 | 中楼层(共4层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_iSqHeyqx7_1.jpg.296x216.jpg
20201223,杨浦,黄兴公园,香阁丽苑大平层 大四房  全天采光无迪 带大花园80平必看好房,1520万,4室2厅 | 166.19平米 | 南 | 简装 | 低楼层(共3层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/b5ad0f8b-edf3-4149-b7f2-fd576b6c6338_1000.jpg.296x216.jpg
20201223,杨浦,黄兴公园,婚房大2房+全明户型+双朝南+得房率高+诚意出售+近地铁必看好房,398万,2室1厅 | 65.59平米 | 南 | 精装 | 中楼层(共7层) | 1995年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_7bLdLqbcz_1.jpg.296x216.jpg
20201223,杨浦,黄兴公园,延吉地铁站边一房满五唯一税费少必看好房,205万,1室0厅 | 32.35平米 | 南 | 简装 | 中楼层(共6层) | 1983年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_vxRcweePk_1.jpg.296x216.jpg
20201223,杨浦,黄兴公园,西边套，南北两房一厅，G0LD三楼，精装修，满四唯一必看好房,338万,2室1厅 | 46.8平米 | 南 | 精装 | 中楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6v2WR3Beo_1.jpg.296x216.jpg
20201223,杨浦,黄兴公园,满五唯一    一楼带天井   附带面积多必看好房,335万,2室1厅 | 51.12平米 | 南 | 简装 | 低楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_FpirfdY0F_1.jpg.296x216.jpg
20201223,杨浦,黄兴公园,此房已满五年，地铁八号线，公园房，南北房复旦xue区必看好房,570万,2室1厅 | 80.97平米 | 南 北 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_djq9ADBDo_1.jpg.296x216.jpg
20201223,杨浦,黄兴公园,小区中间位置，一梯一户，飞机户型，有名.额，诚意卖新上,1265万,3室2厅 | 137.12平米 | 南 | 简装 | 低楼层(共10层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/51a697e7-b78e-41bb-a2b7-6d43f128d05e_1000.jpg.296x216.jpg
20201223,杨浦,黄兴公园,佳龙花园 毛坯三房 中间位置 地铁口 公园旁 有钥匙房主自荐,1150万,3室2厅 | 119.47平米 | 南 | 毛坯 | 低楼层(共14层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_OoIzWaAgU.jpg.296x216.jpg
20201223,杨浦,黄兴公园,复式大户型景观五房3卫，80平主卧套间，俯瞰整个杨浦,2308万,5室3厅 | 256.62平米 | 南 北 | 精装 | 高楼层(共18层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_EMAoLjsFq_1.jpg.296x216.jpg
20201223,杨浦,黄兴公园,九州花苑 3室2厅 南,795万,3室2厅 | 99.66平米 | 南 | 精装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PNPdMBiPv_1.jpg.296x216.jpg
20201223,杨浦,黄兴公园,两房两卫，南北户型，满五唯一。,888万,3室2厅 | 107.75平米 | 南 北 | 简装 | 低楼层(共11层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/df41b711-0a95-4f90-9a12-ca4a4c58bdc0_1000.jpg.296x216.jpg
20201223,杨浦,黄兴公园,户型方正，一室一厅南北通。次顶楼视野开阔房主自荐,225万,1室1厅 | 35.91平米 | 南 | 简装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_FuZmQH0An_1.jpg.296x216.jpg
20201223,杨浦,黄兴公园,大3房 南北通风 楼层好 满五年唯一 楼栋位置好 采光好房主自荐,536万,3室1厅 | 97.83平米 | 南 | 精装 | 高楼层(共7层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/df6fa133-60d7-4c1c-a27e-635d9e4682bd_1000.jpg.296x216.jpg
20201223,杨浦,黄兴公园,望春都市家园 3室2厅 南,1016万,3室2厅 | 126.8平米 | 南 | 精装 | 中楼层(共9层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WrpO2vpXW_1.jpg.296x216.jpg
20201223,杨浦,黄兴公园,满五，采光充足，产权清晰，看房方便,300万,2室1厅 | 49.73平米 | 南 | 精装 | 高楼层(共6层) | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/2a717a6a-573b-4df8-9b70-c65ac0d3d34d_1000.jpg.296x216.jpg
20201223,杨浦,黄兴公园,8号线 上理 满五 诚心出售 原建 双南户型位置好房主自荐,275万,2室1厅 | 44.1平米 | 南 | 简装 | 高楼层(共6层) | 1979年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_nOz5FutSr_1.jpg.296x216.jpg
20201223,杨浦,黄兴公园,浣纱三村 2室1厅 南新上,485万,2室1厅 | 64平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/875f5bee-85a3-4cca-8a18-3249195a79c3_1000.jpg.296x216.jpg
20201223,杨浦,黄兴公园,控江西三村 2室1厅 南,338万,2室1厅 | 50.64平米 | 南 | 精装 | 中楼层(共5层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7FEvEeKuZ_1.jpg.296x216.jpg
20201223,杨浦,黄兴公园,五复六，税费各付，自带南北二个大露台房主自荐,1100万,4室2厅 | 136.24平米 | 南 北 | 简装 | 高楼层(共5层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_nWYNkiuLU_1.jpg.296x216.jpg
20201223,杨浦,黄兴公园,售后公房，满五唯一，中间楼层，精装修，双南带阳台新上,395万,2室1厅 | 52.07平米 | 南 | 精装 | 中楼层(共5层) | 1981年建 | 板楼,http://image1.ljcdn.com/110000-inspection/b9f21cf8-da0b-4215-9fbd-9f7516ca403c_1000.jpg.296x216.jpg
20201223,杨浦,黄兴公园,精装修，一梯3户，8号线地铁口房主自荐,315万,2室1厅 | 50.12平米 | 南 | 其他 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/1f001aed-7f73-47e9-958c-955427c81237_1000.jpg.296x216.jpg
20201223,杨浦,黄兴公园,兰花新村 2室1厅 南,330万,2室1厅 | 47.26平米 | 南 | 精装 | 中楼层(共6层) | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/d29e18b5-7431-4db2-9ff8-7393794c12a8_1000.jpg.296x216.jpg
20201223,杨浦,黄兴公园,精装修、大露台、税较少、诚意出售，错过难再有房主自荐,610万,1室1厅 | 62.06平米 | 南 | 精装 | 低楼层(共11层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/d6f30465-bd57-4aba-820f-81f8d0884f01_1000.jpg.296x216.jpg
20201223,杨浦,黄兴公园,带100平露台小区空中花园小区只有一套大露台,1050万,3室2厅 | 123.58平米 | 南 | 精装 | 高楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_d1zcyRG0t_1.jpg.296x216.jpg
20201223,杨浦,黄兴公园,视野开阔，飞机户型，业主诚意出售，看房方便,1120万,3室2厅 | 116.36平米 | 南 | 精装 | 高楼层(共9层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/9fd2ceee-46a9-4eab-8d86-6d4c3c417878_1000.jpg.296x216.jpg
20201223,杨浦,黄兴公园,满五唯一税费少，总价低朝南一门关。房主自荐,180万,1室1厅 | 34.76平米 | 南 | 简装 | 高楼层(共5层) | 1957年建 | 板楼,http://image1.ljcdn.com/110000-inspection/cce09a1f-05c4-4b06-8a82-cb82cb230e24_1000.jpg.296x216.jpg
20201223,杨浦,黄兴公园,精装修，一梯3户，带露台，采光好，近地铁房主自荐,340万,2室1厅 | 50.12平米 | 南 | 精装 | 低楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_sZqzPeix0_1.jpg.296x216.jpg
20201223,杨浦,黄兴公园,视野开阔+采光无遮挡+小区中间+正对花园新上,230万,1室1厅 | 35.72平米 | 南 | 精装 | 中楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gUkuq7EyD_1.jpg.296x216.jpg
20201223,杨浦,黄兴公园,一室户，楼层好，采光好，通透格局，配套设施齐新上,232万,1室0厅 | 35.77平米 | 南 | 简装 | 中楼层(共5层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jmctvqggR_1.jpg.296x216.jpg
20201223,杨浦,黄兴公园,《地铁站边》《南北双公园》《中间楼层》《税费低》新上,218万,1室1厅 | 34.94平米 | 南 | 简装 | 中楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_v2D0b9jNe_1.jpg.296x216.jpg
20201223,杨浦,黄兴公园,满五唯一 视野宽阔 采光充足 楼层好 采光好 诚意出售房主自荐,485万,2室1厅 | 85.85平米 | 南 | 简装 | 中楼层(共24层) | 1998年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/pc1_hPlpA4CVj_1.jpg.296x216.jpg
20201223,杨浦,黄兴公园,黄兴公园大氧吧  满五唯一税少  南北板式  有大花园房主自荐,825万,2室2厅 | 102.37平米 | 南 | 简装 | 低楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bVS398BLc_1.jpg.296x216.jpg
20201223,杨浦,黄兴公园,满五年 近地铁8号线   诚意出售,360万,1室1厅 | 47.99平米 | 南 北 | 简装 | 中楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_v04Z5se8H_1.jpg.296x216.jpg
20201223,杨浦,黄兴公园,怡佳苑，一室一厅，厅房同宽，高楼层，采光好无遮挡。房主自荐,260万,1室1厅 | 50.69平米 | 南 | 毛坯 | 高楼层(共7层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/d55c4423-0794-4ad9-ad4e-d51fff1ccef8_1000.jpg.296x216.jpg
20201223,杨浦,黄兴公园,精装修朝南一门关，业主诚意出售，有钥匙。随时看房。房主自荐,178万,1室0厅 | 34.14平米 | 南 | 精装 | 高楼层(共4层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_QsYN247QR.jpg.296x216.jpg
20201223,杨浦,黄兴公园,佳龙花园 3室2厅 南,1300万,3室2厅 | 134平米 | 南 | 精装 | 低楼层(共10层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_hZIOoZYos_1.jpg.296x216.jpg
20201223,杨浦,黄兴公园,黄兴绿园 3室2厅 南,980万,3室2厅 | 122.77平米 | 南 | 简装 | 低楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/36503820-5d30-4479-8e93-8144a21ab9eb_1000.jpg.296x216.jpg
20201223,杨浦,黄兴公园,西边套全明，少有户型，厅南北通，楼层好带露台,520万,2室1厅 | 76.45平米 | 南 | 精装 | 低楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_uzNgpieY0_1.jpg.296x216.jpg
