20201223,杨浦,控江路,三楼  精装修 不靠马路  诚心出售必看好房,360万,2室1厅 | 57.44平米 | 南 | 精装 | 中楼层(共7层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_q5mpSS77v_1.jpg.296x216.jpg
20201223,杨浦,控江路,店长推荐：双南两房，中间楼层，采光通风好必看好房,345万,2室1厅 | 59.2平米 | 南 | 简装 | 中楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_woE7NaeeJ_1.jpg.296x216.jpg
20201223,杨浦,控江路,近地铁+南北双阳台+满五唯一+楼间距宽，采光充足必看好房,500万,2室1厅 | 75.31平米 | 南 | 简装 | 中楼层(共5层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_oiVdESCZR.jpg.296x216.jpg
20201223,杨浦,控江路,大运盛城 中高楼层 05年次新房  三房双卫户型必看好房,860万,3室2厅 | 128.6平米 | 南 | 简装 | 高楼层(共28层) | 2006年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-e4d737e5-c08d-4f74-8423-108dccd44876.jpg.296x216.jpg
20201223,杨浦,控江路,看房有钥匙，小区环境好，近地铁，楼层佳，户型好。必看好房,292万,1室0厅 | 29.48平米 | 南 | 简装 | 中楼层(共4层) | 1976年建 | 板楼,http://image1.ljcdn.com/110000-inspection/2990fa8f-9132-403f-8a70-912723467295_1000.jpg.296x216.jpg
20201223,杨浦,控江路,近地铁交通好，精装修1楼不用爬楼梯拎包住价低诚意卖必看好房,235万,1室0厅 | 22.21平米 | 南 | 精装 | 低楼层(共5层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_epQ7wueCY_1.jpg.296x216.jpg
20201223,杨浦,控江路,朝南一室户，单价低，总价低，位置安静必看好房,199万,1室1厅 | 37.21平米 | 南 | 毛坯 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_uscmjwUPl_1.jpg.296x216.jpg
20201223,杨浦,控江路,顶楼带阁楼+精装修+诚意出售+近地铁阁楼，阁楼！！！必看好房,197万,1室1厅 | 29.92平米 | 南 | 精装 | 高楼层(共5层) | 1975年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_l5EbOTDun_1.jpg.296x216.jpg
20201223,杨浦,控江路,边套全明，户型方正，楼层适中采光好，看房方便诚意售必看好房,290万,2室1厅 | 50.73平米 | 南 北 | 简装 | 中楼层(共6层) | 1979年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_hzTTQKov0_1.jpg.296x216.jpg
20201223,杨浦,控江路,满五唯一 产权清晰 看中价格还可以小谈 信任链家必看好房,215万,1室0厅 | 37.44平米 | 南 | 简装 | 中楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_K7dQqbVvl_1.jpg.296x216.jpg
20201223,杨浦,控江路,低总价+小两房+中间楼层+近杨浦公园+医院+原建房必看好房,278万,2室0厅 | 43.78平米 | 南 | 简装 | 中楼层(共5层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/4274eae6-045a-4496-a1c9-f8c2ea580a6f_1000.jpg.296x216.jpg
20201223,杨浦,控江路,南北全明格局 楼层好 位置好 诚意出售必看好房,177万,1室0厅 | 28.81平米 | 南 | 精装 | 中楼层(共5层) | 1977年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jk1xQY6Nd_1.jpg.296x216.jpg
20201223,杨浦,控江路,顶楼南北阁楼，内环内八号十八号线双轨交通，配套齐全必看好房,260万,3室1厅 | 48.31平米 | 南 | 简装 | 高楼层(共6层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_hxrdFZcFi.jpg.296x216.jpg
20201223,杨浦,控江路,诚意出售，朝南一门关，交通便捷，配套成熟,288万,1室1厅 | 35.31平米 | 南 | 简装 | 中楼层(共5层) | 1973年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-602690bd-298d-4b40-a1f7-47b2cd460664.png.296x216.jpg
20201223,杨浦,控江路,联排别墅+带阁楼地下室我+独立车位+地段地段还是地段房主自荐,2518万,4室2厅 | 206.35平米 | 南 | 精装 | 低楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Lgqdr4Ae9_1.jpg.296x216.jpg
20201223,杨浦,控江路,满五唯一，两房朝南采光好，诚心出售新上,820万,2室2厅 | 97.53平米 | 南 | 精装 | 低楼层(共11层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6bn0eQgFS_1.jpg.296x216.jpg
20201223,杨浦,控江路,延吉东路131弄 1室1厅 南新上,187万,1室1厅 | 37.79平米 | 南 | 精装 | 高楼层(共7层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_C29Xyihp4_1.jpg.296x216.jpg
