20201223,杨浦,新江湾城,梦想稀有三房 满五唯一 精装带地暖 带40平储藏间必看好房,1250万,3室2厅 | 136.52平米 | 南 北 | 精装 | 中楼层(共11层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_hgYfl9RJv_1.jpg.296x216.jpg
20201223,杨浦,新江湾城,此房满五唯一 位置楼层视野好 看房方便 诚意出售必看好房,920万,2室2厅 | 105.58平米 | 南 | 精装 | 高楼层(共12层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_P1Hlobb6B_1.jpg.296x216.jpg
20201223,杨浦,新江湾城,华润品质两房 房东诚售 带车位必看好房,988万,2室2厅 | 87.9平米 | 南 | 精装 | 中楼层(共13层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_J2TCupEwD_1.jpg.296x216.jpg
20201223,杨浦,新江湾城,前后大花园！双会所恒温游泳池！采光全通透！带车位！必看好房,2150万,6室4厅 | 280平米 | 南 | 精装 | 低楼层(共5层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8lPhOioGp_1.jpg.296x216.jpg
20201223,杨浦,新江湾城,店长推荐 必看好房 叠加别墅带大花园 错过后悔系列必看好房,2200万,4室3厅 | 380平米 | 南 北 | 精装 | 低楼层(共5层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_UDX3OviRb_1.jpg.296x216.jpg
20201223,杨浦,新江湾城,华润打造 房东诚售  采光不挡 产权清晰必看好房,780万,1室2厅 | 63.19平米 | 南 | 精装 | 中楼层(共13层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_CQKqqiiGi_1.jpg.296x216.jpg
20201223,杨浦,新江湾城,满五年唯一税费少，产权清晰，房型正气，业主诚意出售必看好房,728万,2室2厅 | 85.52平米 | 南 | 精装 | 高楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cU8c3lzDh_1.jpg.296x216.jpg
20201223,杨浦,新江湾城,新江湾城地铁口+满五唯一+品质小区必看好房,2430万,4室2厅 | 303.4平米 | 南 北 | 精装 | 中楼层(共12层) | 2012年建 | 板楼,
20201223,杨浦,新江湾城,全明四房，房屋的功能不仅居住，更在享受生活必看好房,1930万,4室2厅 | 199.08平米 | 南 | 精装 | 中楼层(共16层) | 2010年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/944fdfe1-aebd-42ea-910c-87046fc55908.png.296x216.jpg
20201223,杨浦,新江湾城,新上房源+满五年+装修保养好+业主诚意售房新上,1350万,3室2厅 | 147.17平米 | 南 | 精装 | 低楼层(共11层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2u6aEMHZf_1.jpg.296x216.jpg
20201223,杨浦,新江湾城,上揽天地，下沉花园，毛坯叠加别墅，钥匙房，等君一看房主自荐,2000万,4室2厅 | 279.66平米 | 南 | 毛坯 | 低楼层(共5层) | 2008年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-842f9c93-01cd-4efb-923f-900fd5ac6598.jpg.296x216.jpg
20201223,杨浦,新江湾城,此房满五唯一，顶楼复式，前后无遮挡，采光好新上,1650万,3室2厅 | 88.53平米 | 南 | 精装 | 高楼层(共8层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_UvOBxHxe0_1.jpg.296x216.jpg
20201223,杨浦,新江湾城,满五唯一，税费低，带车位，电梯房，一梯一户，,2280万,4室2厅 | 318.61平米 | 南 | 精装 | 低楼层(共6层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_LTMUVIWcu_1.jpg.296x216.jpg
20201223,杨浦,新江湾城,大两房，一梯两户，繁华地段，房型正气，带露台房主自荐,960万,2室2厅 | 105.99平米 | 南 北 | 精装 | 低楼层(共11层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_I6ud8z7fT_1.jpg.296x216.jpg
20201223,杨浦,新江湾城,九龙仓玺园稀 少两房，楼层好，保养好，拎包入住。新上,1550万,2室2厅 | 136.56平米 | 南 | 精装 | 高楼层(共11层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_nVMZPDulL_1.jpg.296x216.jpg
20201223,杨浦,新江湾城,满五年电梯洋房 精装修 带车位 中上楼层采光好房主自荐,1420万,3室2厅 | 176.36平米 | 南 | 精装 | 中楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WbsXUBgdG_1.jpg.296x216.jpg
20201223,杨浦,新江湾城,新江湾少见复式 直面百里湿地 纯天然氧吧 满五低税房主自荐,1840万,5室3厅 | 270.16平米 | 南 | 精装 | 高楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-7106e638-db5a-4246-8c8f-a1b93bcfd0a4.jpg.296x216.jpg
20201223,杨浦,新江湾城,此房是业主一手买进，精装七房，业主诚意卖房,1840万,7室3厅 | 319.71平米 | 南 | 精装 | 低楼层(共10层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4ro4aIDrf_1.jpg.296x216.jpg
20201223,杨浦,新江湾城,一梯一户，私密性好，房型正气，小区环境美观，有车位房主自荐,2530万,7室3厅 | 362.71平米 | 南 北 | 毛坯 | 高楼层(共6层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_spgyUwY9S_1.jpg.296x216.jpg
20201223,杨浦,新江湾城,满五年1/2唯一，有车位，业主诚心出售，随时可以签字,2150万,4室2厅 | 227.13平米 | 南 | 精装 | 中楼层(共13层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_sLkBXZcB4_1.jpg.296x216.jpg
20201223,杨浦,新江湾城,边套联排别墅 带180平花园加大露台 值得拥有诚意出售,3200万,5室3厅 | 367.63平米 | 南 | 精装 | 1层 | 2011年建 | 板楼 | 联排别墅,http://image1.ljcdn.com/110000-inspection/pc1_obBNmWxxI_1.jpg.296x216.jpg
20201223,杨浦,新江湾城,全明中叠，精装五房，保养好，对过就是上音、中福会。房主自荐,3360万,5室4厅 | 336.69平米 | 南 | 精装 | 中楼层(共5层) | 2011年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-0d5a6214-d88a-4afd-b243-478223601519.png.296x216.jpg
20201223,杨浦,新江湾城,合生三期、满五唯一、东边套进口暖气、带40平米大花园,968万,2室2厅 | 103.88平米 | 南 | 精装 | 低楼层(共11层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_EjzlpsK3N_1.jpg.296x216.jpg
20201223,杨浦,新江湾城,全新房，满五唯一，精装下叠，出门即上音。,2199万,5室3厅 | 281.88平米 | 南 | 精装 | 低楼层(共5层) | 2011年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-17db334f-7b26-45ff-ac8f-b9247eabe7d0.jpg.296x216.jpg
20201223,杨浦,新江湾城,华润品质  单栋大平层  干挂石材外立面 诚意出售房主自荐,2350万,5室2厅 | 302.73平米 | 南 | 精装 | 低楼层(共12层) | 2011年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_QtGzjyk0t_1.jpg.296x216.jpg
20201223,杨浦,新江湾城,单栋平墅，低密宜居社区，全石材干挂外立面,2780万,5室2厅 | 269.37平米 | 南 | 精装 | 上叠(共6层) | 2014年建 | 板楼 | 叠拼别墅,http://image1.ljcdn.com/110000-inspection/pc1_FymG56Pwq.jpg.296x216.jpg
