20201223,杨浦,中原,店长推荐独栋全明户型，配套齐全必看好房,317万,2室1厅 | 60.84平米 | 东南 | 精装 | 低楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/3ce7afd1-058d-4ed5-9cb8-85faeadd665f_1000.jpg.296x216.jpg
20201223,杨浦,中原,全明户型+厅有窗户+俯瞰民星公园+非顶楼+满五唯一必看好房,340万,2室1厅 | 61.87平米 | 南 | 精装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7IiWXTTTf_1.jpg.296x216.jpg
20201223,杨浦,中原,8号线地铁+精装修好楼层+不靠马路+业主诚售必看好房,199万,2室1厅 | 41.54平米 | 南 | 精装 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/0150f8ec-0de8-4848-8dd3-3cb48f6c7626_1000.jpg.296x216.jpg
20201223,杨浦,中原,主卧带阳台 视野开阔 采光充足 通风性好 交通便利必看好房,177万,1室0厅 | 36.87平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/d421232b-420c-4fa0-90d2-dbca7eb27d2e_1000.jpg.296x216.jpg
20201223,杨浦,中原,厅房同宽＋全明房型＋满五唯一＋随时看房必看好房,205万,1室1厅 | 43.26平米 | 南 | 精装 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/920465ab-7f40-47fa-9422-9238bb1f0b71_1000.jpg.296x216.jpg
20201223,杨浦,中原,真正的好房 地铁8号嫩江路 非顶楼 居家装修 生活方便必看好房,190万,1室1厅 | 38.26平米 | 南 | 简装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/355cfc66-b62f-4db0-abae-704fb3a9d6a9_1000.jpg.296x216.jpg
20201223,杨浦,中原,急急急+钥匙+满五+地铁口+全新装修+边套全明+厅房同宽必看好房,340万,2室1厅 | 63.58平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/616b4ae6-e3f2-4d5b-97f5-87cfd6f1a49e_1000.jpg.296x216.jpg
20201223,杨浦,中原,热推好房 户型好 正南 中间楼层 随时看房 户型正气必看好房,225万,1室1厅 | 41.5平米 | 南 | 简装 | 中楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/a66d1a18-220e-46e8-9f7c-4ec6f84e0bf4_1000.jpg.296x216.jpg
20201223,杨浦,中原,业主诚意出售+低楼层+采光好+无增值税必看好房,190万,1室1厅 | 39.81平米 | 南 | 简装 | 低楼层(共6层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/1dbd6d6e-4dbc-45cf-9eab-ff6334245a7b_1000.jpg.296x216.jpg
20201223,杨浦,中原,少有！中原大面积复式板楼！05年小洋房小区，配套完善必看好房,635万,4室2厅 | 102.23平米 | 南 | 精装 | 低楼层(共3层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/25a4d664-1800-41ae-b518-56fe1a2b77e4_1000.jpg.296x216.jpg
20201223,杨浦,中原,准电梯房，双南卧室，厨卫全明，杨浦中原板块主要商圈必看好房,379万,2室1厅 | 60平米 | 南 | 精装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JWMceQQKo_1.jpg.296x216.jpg
