20201223,杨浦,周家嘴路,内环内00年花园小区，大南北两房，采光透亮，交通便利必看好房,750万,2室2厅 | 112.75平米 | 南 北 | 简装 | 低楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2sPG7KsuZ_1.jpg.296x216.jpg
20201223,杨浦,周家嘴路,满五年，电梯房，朝正南，近新华医院，养老方便必看好房,324万,1室1厅 | 46.57平米 | 南 | 精装 | 低楼层(共16层) | 1993年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_rVZgs3uhN_1.jpg.296x216.jpg
20201223,杨浦,周家嘴路,控江路1039弄近地铁近公园事宜居住中楼层精装一房必看好房,300万,1室1厅 | 46.62平米 | 南 | 精装 | 中楼层(共5层) | 1972年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_loHuUK77B_1.jpg.296x216.jpg
20201223,杨浦,周家嘴路,朝南一房，边套户型，户型好，近花园，低总价，无遮挡必看好房,260万,1室1厅 | 40.59平米 | 南 | 精装 | 低楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YroS4Kejk_1.jpg.296x216.jpg
20201223,杨浦,周家嘴路,12号线地铁 一手动迁  板楼必看好房,365万,1室1厅 | 52.5平米 | 南 | 精装 | 中楼层(共34层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_kbkqGopMM_2.jpg.296x216.jpg
20201223,杨浦,周家嘴路,全明户型+产权清晰+诚意售房+配套齐全必看好房,400万,2室1厅 | 66.81平米 | 西南 | 简装 | 低楼层(共24层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_uRUZ1GFvR.jpg.296x216.jpg
20201223,杨浦,周家嘴路,全南两房，14年次新房，人车分流品质小区，不靠马路。必看好房,930万,2室2厅 | 91.14平米 | 南 | 精装 | 低楼层(共18层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rMsnFDeyu_1.jpg.296x216.jpg
20201223,杨浦,周家嘴路,此房近地铁公园商场，楼层好，视野开阔，税费少必看好房,178万,1室0厅 | 29.76平米 | 北 | 简装 | 低楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rXjdbJ5KN_1.jpg.296x216.jpg
20201223,杨浦,周家嘴路,房子满五年，精装修1室1厅，采光充足，92年原建房必看好房,238万,1室1厅 | 44.79平米 | 南 北 | 简装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8kA0LFfrc.jpg.296x216.jpg
20201223,杨浦,周家嘴路,1房小户型，总价低，精装修，生活便利，近地铁必看好房,200万,1室0厅 | 32.1平米 | 南 | 精装 | 中楼层(共7层) | 1994年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-6f78f4f0-686f-49d9-9225-594365e86014.jpg.296x216.jpg
20201223,杨浦,周家嘴路,一年不出一套的好房+美丽家园小区+随时可看必看好房,238万,1室1厅 | 41.95平米 | 南 | 简装 | 7层 | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1LcxKtoGj.jpg.296x216.jpg
20201223,杨浦,周家嘴路,杨浦内环内，高区采光充足，地铁沿线，配套成熟必看好房,493万,2室1厅 | 83.74平米 | 东 北 东北 | 精装 | 高楼层(共24层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_WYyrtmqMY_2.jpg.296x216.jpg
20201223,杨浦,周家嘴路,13年新小区-电梯房-近地铁-停车方便！必看好房,420万,2室1厅 | 68.1平米 | 南 北 | 简装 | 低楼层(共26层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0noFKeB6P_2.jpg.296x216.jpg
20201223,杨浦,周家嘴路,南北户型 全明通透 采光充足 近地铁必看好房,765万,2室2厅 | 91.77平米 | 南 | 精装 | 高楼层(共14层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4ZFCokkXK_2.jpg.296x216.jpg
20201223,杨浦,周家嘴路,中轩丽苑   带产权车位   三房两卫   诚意出售必看好房,920万,3室2厅 | 94.43平米 | 南 | 简装 | 高楼层(共14层) | 2004年建 | 板楼,
20201223,杨浦,周家嘴路,电梯房，三开间朝南，内环两房，全明户型，得房率高,635万,2室1厅 | 100.27平米 | 南 | 简装 | 低楼层(共24层) | 1999年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/prod-21130cb1-0b37-4751-b8dd-31b5c2c845df.jpg.296x216.jpg
20201223,杨浦,周家嘴路,2001年商品房税费少+双轨交汇8号12号+南北通户型房主自荐,818万,3室1厅 | 107.26平米 | 南 | 简装 | 11层 | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HpLsEXH66_1.jpg.296x216.jpg
20201223,杨浦,周家嘴路,双南户型，厅朝北，全明户型 带地暖房主自荐,860万,3室2厅 | 124.75平米 | 南 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0XOpQKTni.jpg.296x216.jpg
20201223,杨浦,周家嘴路,近地铁，采光好，安静，主卧南，成熟地段13年小区电梯新上,480万,2室1厅 | 69.24平米 | 南 | 简装 | 低楼层(共34层) | 2013年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_iDkFJeTWO_1.jpg.296x216.jpg
20201223,杨浦,周家嘴路,新上房源，精装修，近地铁，楼层好，采光无遮挡新上,515万,2室1厅 | 83.03平米 | 西 南 | 精装 | 中楼层(共19层) | 1998年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_DlZZK0Q5e_1.jpg.296x216.jpg
20201223,杨浦,周家嘴路,控江路1455弄 2室1厅 南新上,378万,2室1厅 | 55.8平米 | 南 | 精装 | 低楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cq4rdk4JH_1.jpg.296x216.jpg
20201223,杨浦,周家嘴路,江浦公园观景房，12号/18号双轨交通，生活配套成熟新上,600万,2室2厅 | 85.66平米 | 南 | 简装 | 中楼层(共24层) | 1998年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_7f6CIzs5o_1.jpg.296x216.jpg
20201223,杨浦,周家嘴路,房子满五唯一，一手动迁，近地铁隆昌路新上,480万,2室1厅 | 61.73平米 | 南 | 精装 | 低楼层(共35层) | 2011年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_gG2a0MtRT_1.jpg.296x216.jpg
